REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,95,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,opened,2012-09-11 04:49:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,title,2012-09-11 04:49:27,00:00,,1,,"b""b' Guild Finder'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,body,2012-09-11 04:49:27,00:00,,1,,"b""b' Needs to be implemented.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,1,2012-09-11 04:49:27,229.65,,1,,"b""b' Better update guilds first :D'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,2,2012-09-11 04:49:27,631.32,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,3,2012-09-11 04:49:27,110.78,,1,,"b'b"" In order to test it thow"," we need to simply fix the Guilds. Because you can\'t make any Guilds. Or even if you do the name is invisible and the Guild Tab is bugged.""'",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,closed,2013-02-04 22:02:49,1033.37,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,reopened,2013-02-04 22:07:16,4.45,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,closed,2013-02-04 22:07:37,0.35,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,97,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,opened,2012-09-11 19:04:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,title,2012-09-11 19:04:17,00:00,,1,,"b""b' Guilds'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,body,2012-09-11 19:04:17,00:00,,1,,"b""b' Guild system must be upgraded to 4.3.4.15595. All Opcodes not yet supported.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,1,2012-09-11 19:04:17,117.68,,1,,"b""b' Already replied on Issue #97'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,2,2012-09-11 19:04:17,48.95,,1,,"b'b"" I make two issues cause i don\'t think both features will be implemented at the same time. So when guilds are fixed"," this can be closed and same for issue #97 IMHO issues is more like a ticket system for schedule work and assign to devs than a bugtracker.""'",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,3,2012-09-11 19:04:17,195.17,,,1,"b'b"" Didn\'t ask why :D But anyway. Just said that i replied on Issue #97 so i don\'t need to write it back here. :D""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,closed,2013-02-04 22:02:36,178.32,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,reopened,2013-02-04 22:06:46,4.17,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,closed,2013-02-04 22:07:26,0.67,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,99,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,opened,2012-09-15 08:36:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,title,2012-09-15 08:36:22,00:00,,1,,"b""b' Quest status'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,body,2012-09-15 08:36:22,00:00,,,1,"b""b' Quest  ? and ! some time still not shown under npc which have quests...Need update objective then it will be shown...'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,1,2012-09-15 08:36:22,304.8,,,1,"b""b' Correct: Fix needed on Quest Marks (Yellow marks of ? -Question Markand ! -Exclamation Mark-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,closed,2012-09-16 13:41:10,304.8,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,reopened,2012-09-16 13:42:20,1.17,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,2,2012-09-15 08:36:22,1359.57,,1,,"b""b' please recheck'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,3,2012-09-15 08:36:22,185.92,,,1,"b""b' Work fine!!! BIG THX!!! =)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,closed,2012-09-17 15:26:42,104.37,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,102,closed,-,-,-,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,opened,2013-01-16 19:10:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,title,2013-01-16 19:10:06,00:00,,1,,"b'b"" Retrieving Item Info on Dragonwrath"," Tarecgosa\'s Rest (ID: 71086)""'",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,body,2013-01-16 19:10:06,00:00,,,1,"b'b"" If you attempt to add Dragonwrath", Tarecgosa\'s Rest (ID: 71086) you will be unable to see the tooltip, use the effect, etc. You can equip it, and get a physical model, and even an icon instead of the usual red question mark but it will forever say Retrieving item info. Tried with YTDB and MaNGOS DB," so I\'m pretty sure it isn\'t a DB problem. Both DB\'s have an entry in item_template for that item. Thanks! :D  ALSO: As I posted on the forum here url  the Fangs of the Father quest rewards give the same error and behavior. ""'",,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,1,2013-01-16 19:10:06,258.92,,1,,"b""b' I can confirm that this problem occurs '""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,closed,2013-01-16 23:29:01,258.92,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,reopened,2013-01-16 23:29:07,0.1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,2,2013-01-16 19:10:06,673.13,,1,,"b""b' See this url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,117,open,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,opened,2013-02-04 21:22:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,title,2013-02-04 21:22:59,00:00,,1,,"b""b' SPAMM'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,body,2013-02-04 21:22:59,00:00,,,1,"b""b' SPAMM -Censorship by billy1arm enjoy mangos in a free spirit'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,closed,2013-02-04 21:38:12,15.22,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,1,2013-02-04 21:22:59,53.2,1,,,"b""b' I guess the truth hurts"," the MaNGOS Dictatorship Is Salja from North Korea?'""",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,2,2013-02-04 21:22:59,12.62,1,,,"b'b"" i don\'t understand wtf is happening""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,3,2013-02-04 21:22:59,1.95,1,,,"b""b' The cMangos team are bored'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,4,2013-02-04 21:22:59,53.05,1,,,"b""b' You can read at least a part of the original message here: url  ...'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,5,2013-02-04 21:22:59,35.72,,1,,"b'b"" from what i\'ve cMangos team has been banned without any reason from "," they wanted to know why (this why an issue has been created) and salja just removed it. MaNGOS wants to go private & now ban everyone that doesn\'t agree ? @TheLuda where is the old and awesome community ? where is the freedom ? looks like it\'s all gone to me that\'s a shame""'",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,6,2013-02-04 21:22:59,14.03,,1,,"b""b' X-Savior was banned for spamming abuse"," MaNGOS has no intention of going private.'""",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,7,2013-02-04 21:22:59,0.52,1,,,b'b\' actually no.I personally don\\\'t care about the forums at  however i have a big problems with people writing PMs to me, and i am not able to see these PMs, respond to them, and the author of the PM would not know why. Hence i made a public post stating that PMs towards me on mangos forums are not working and people trying to reach me _must_ use some reliable way, for which i suggested the SD2 forums. As the original statement was deleted immediately here," i checked the ""activity"" messages on _my_ github account.There i could see that unfortunately only the headline of a created issue is stored", so i created a new issue with a headline having this issue\\\'s content in short form to keep the message stored.\'',,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,8,2013-02-04 21:22:59,3.92,,,1,"b""b' Your initial comment was fine"," but was quickly hijacked by others'""",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,9,2013-02-04 21:22:59,780.33,1,,,"b'b"" that\'s just sad...""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,10,2013-02-04 21:22:59,1038.28,,1,,"b""b' O_O '""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,reopened,2013-02-06 07:46:27,608.25,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,closed,2013-02-06 07:46:33,0.1,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,119,closed,-,-,-,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,opened,2013-02-06 09:55:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,title,2013-02-06 09:55:44,00:00,,1,,"b""b' Open discussion about Mangos and Cmangos projects'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,body,2013-02-06 09:55:44,00:00,1,,,b'b\' Hi everyone, I want to address a few questions and fact in this topic, since github is public to everyone," not only to the users of  or other forums First I want to say that this is mainly addressed to @Salja (and @TheLuda if he\\\'s still around) the actual administrator of the so called ""mangos foundation"".I\\\'d like to discuss this openly", no swears or personal injuries. Also I\\\'m not here to discuss legal issues (the ones posted here: url  ) regarding our projects. This is something which lawyers can handle. First, I understood by reading your forum, that cMangos is bad, probably the worst thing in the universe at this moment. And because of this, cMangos must be boycotted, closed, banned and it\\\'s developers burned alive in public. Considering this, then why did you just copy paste all our commits into the mangos repositories? I know that the open source policy allows it, and I\\\'m not complaining about this, but I\\\'m complaining about the morality of this thing.Why don\\\'t you just wipe all the cMangos commits, from every repository, every hard drive and just start from url  and do the research and code writing by yourself?If cMangos is it that bad," why did you copy paste our commits? Wouldn\\\'t this be called a ""plagiarism""?If cMangos project was taken down"," shouldn\\\'t you do the same with all the commits that belonged to cMangos?Don\\\'t you think that you will also violate the so called ""copyrights"" if you just take our commits and then put your copyright headers on the files to which you had no contribution at all in the past 6 months?If you really think that cMangos was blocking you way to evolve"," to be ""the best of the best""", then you should know that the are many other projects which are far more evolved and popular than your current mangos," and virtually almost nobody cares what happens to the your ""mangos foundation"". Mangos has no more than 1% ""market share"" compared to TrinityCore and Skyfire.Finally don\\\'t you realize that all the fellow projects (scripts and database) won\\\'t support your core anymore? Don\\\'t you realize that the mangos core is virtually a piece of dead code without database and scripts? As a conclusion: if you really want cMangos banned", then so be it. But then you will have to drop all our commit from your repositories and restore them to the original commit, before cMangos was born. After this the mangos project can progress (or maybe rest) in peace. Thanks in advance, Xfurry PS.If you really have balls in you pants, you will answer to this topic, like a man, and not just delete it and run away crying like a baby. ;)\''
MaNGOS,121,closed,1,2013-02-06 09:55:44,14.0,,1,,"b""b' GPL2 states that when you publish under the GPL the MaNGOS Code is open source"," i can merge all what is pushed from CMaNGOS as CmANGOS is only a fork of MaNGOS.Removing the original copyright is illegal (Trinity still has the Mangos Copyright in their code)'""",,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,2,2013-02-06 09:55:44,3.93,1,,,"b""b' All we are after is that the original copyright acknowledgements are restored and the personal attacks on Mangos Members stop'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,3,2013-02-06 09:55:44,0.22,,1,,"b'b"" Delete", abuse," banned cMaNGOS is like child...But also I can\'t understand CMaNGOS team why you delete all copyrights which point to mangos from CMaNGOS code???In any case CMaNGOS is fork from mangos and I think that cmangos dev team should not delete all copyrights...""'",,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,4,2013-02-06 09:55:44,11.55,,1,,"b'b\' Do you have a copyright document submitted here url  ?Do you have legal papers for the so called ""mangos foundation""? Does the ""mangos foundation"" pay taxes", to the state for it\\\'s activities, so that it can claim copyright? If you do, then we\\\'ll put the copyrights back. Otherwise," everyone would put a ""copyright"" on anything and cliam that he owns that", without any legal paper...\'',,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,5,2013-02-06 09:55:44,7.53,,1,,"b'b"" PS.Every company which claims copyright on a software or music or movies", does really exist on legal papers, and pays all the taxes for the money that they get. They also submit balance sheets to the state," once a year to prove that their activity isn\'t illegal. Blizzard is not a fictional foundation which put a copyright line on a game that they developed.Sony isn\'t a fictional company which claims copyright for all the music that they produceAnd the examples can continue... You must know that even donations can be taxed in certain conditions. (I think that someone who knows better accounting can help at this point).""'",,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,6,2013-02-06 09:55:44,6.98,,1,,"b'b"" 1st) everyone has submitted code", and the code has always been signed to the mangos project or foundation. You can not change that. Leaving the project and forking it, still means you have to keep the original copyrights.2nd) the mangos foundation actually was registered a few years ago, and still is, and I am the one paying the bills for mangos for almost 8 years now. There is a real, legal organisation, although we are exempted from taxes, since the foundation does not have any income, or follows any business purpose, except to benefit newly developers studying. Also, I submit regular tax sheets every year, but there usually is nothing going, because donations are hardly there except for a sum below $50 or even $0 over a year. But besides that, the point here is just plain simple:Some people left mangos, and that is perfectly fine. But if you leave a project, you have no right to claim the copyright. Just like MariaDB is a fork which kept the original copyright from MySQL in their source, anyone forking mangos is simply obliged to keep the copyright. E.g. the original mangos core contains code by me, which I licensed under GPL v2 to the mangos project. Did you ask my permission to re-licence that for cmangos? Nope. I am sorry, but you can have cmangos, and do what you want, but you have to follow the license terms, and that is not up for discussion. The GPL is a valid license, and I can not see any value in cmangos, if the fork which it is does not intend to respect even a simple license. For me, I don\'t care. I am just paying the bills," and hand out advice and data in the background to ever developer.""'",
MaNGOS,121,closed,7,2013-02-06 09:55:44,5.2,,,1,"b'b"" @TheLuda This answers my questions. We\'ll proceed in fixing the copyrights as soon as possible.Thank you""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,8,2013-02-06 09:55:44,0.83,,,1,"b""b' @xfurry: perfectly fine with me", I honestly wish you good look with cmangos," no bad feelings from my side.'""",,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,closed,2013-02-06 11:15:41,79.95,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,9,2013-02-06 09:55:44,75.5,1,,,b'b\' About legal matters. I stated my opinion about these weeks ago in the relevant discussion. Nobody had anything to say about my arguments.I won\\\'t waste my time to repeat myself however. @theLuda I know you are unable to read, but there never was any illigal re-licensing done by our side.The code is still GPLv2 as it should and must be.Besides you should not overestimate your own contribution," from my history the last none-trivial commit done by yourself was in 2008. So all you have any ""moral"" rights to claim is something like readding a ""copyright-line"" up till 2008.\''",,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,reopened,2013-02-06 12:04:51,49.17,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,10,2013-02-06 09:55:44,15.88,,1,,"b'b"" @schmoozerd:You may be right", but since the mangos foundation exists as a legal entity (as theLuda claimed) then he has the right to keep the copyright line there for as long as the project exists.It won\'t matter if he didn\'t commit anything lately," because the copyright extends up to 40 years or even more.See this vid: url ""'",,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,11,2013-02-06 09:55:44,3.4,1,,,"b'b"" There\'s no doubt about it. The terms of GPLv2 are clear.It\'s easy to check if CMangos has  the Copyright line", and if yes, shame on you," fix it and all is good.""'",,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,closed,2013-10-04 22:07:48,602.95,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,121,closed,-,-,-,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
