REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,
mongo,978,closed,title,2015-06-08 19:48:41,00:00,,1,,"b""b' SERVER-18794 Add aggregation stage $objectToArray and testing.'""",,,,,,,,,,,
mongo,978,closed,body,2015-06-08 19:48:41,00:00,,1,,"b""b' Add aggregation stage $objectToArray and testing.'""",,,,,,,,,,,
mongo,978,closed,closed,2015-09-18 14:36:26,1127.75,0,2,0,,,,,,,,,,,,
mongo,978,closed,1,2015-06-08 19:48:41,1165.05,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,978,closed,reopened,2015-09-18 15:13:45,37.32,0,3,0,,,,,,,,,,,,
mongo,978,closed,2,2015-06-08 19:48:41,23.28,1,,,"b'b"" Hello Jeff",  I\'m going to close this pull request since SERVER-18794 has been completed by a pull request from @sindbach. Thank you for your pull request, and we apologize for not considering your work sooner.  Best," Tess""'",,,,,,,,
mongo,978,closed,closed,2017-03-08 15:37:01,23.27,1,3,0,,,,,,,,,,,,
mongo,978,closed,-,-,-,1,3,0,,,,,,,,,,,,
mongo,984,closed,opened,2015-06-11 02:59:26,,,,,,,,,,,,,,,,
mongo,984,closed,title,2015-06-11 02:59:26,00:00,,1,,"b""b' SERVER-17410: listCommands returns unordered list'""",,,,,,,,,,,
mongo,984,closed,body,2015-06-11 02:59:26,00:00,,1,,"b'b\' JIRA link: url  Fix summary:Construct the result object for ""listCommands"" using sorted commands map constructed from existing commands object.\''",,,,,,,,,,,
mongo,984,closed,1,2015-06-11 02:59:26,982.32,,,1,"b'b"" Thanks again for submitting your pull request! Could you please rebase this against a recent commit from master and re-submit?  We very recently auto-formatted the entire / directory with clang-format"," so you\'ll notice that there have been significant whitespace changes in the file being modified.  Thanks.""'",,,,,,,,,,
mongo,984,closed,closed,2015-06-29 22:54:07,1194.68,0,2,1,,,,,,,,,,,,
mongo,984,closed,reopened,2015-06-29 22:55:14,1.12,0,2,1,,,,,,,,,,,,
mongo,984,closed,2,2015-06-11 02:59:26,228.58,,,1,"b""b' I did a rebase against the recent commit from master and had to merge it with my branch", since upendrag::server-17410 and mongo:: master were divided. I have also addressed the review comments from the previous patch.If this is not what you were looking for," please let me know. I am happy to create a new pull request from fresh branch.'""",,,,,,,,,
mongo,984,closed,3,2015-06-11 02:59:26,138.05,,1,,"b""b' Since there are lot file changes due to the recent clang formatting that happened between my commits"," I am closing this and will open a new one.'""",,,,,,,,,,
mongo,984,closed,closed,2015-06-30 01:28:23,153.15,0,3,2,,,,,,,,,,,,
mongo,984,closed,-,-,-,0,3,2,,,,,,,,,,,,
mongo,991,closed,opened,2015-06-30 14:43:22,,,,,,,,,,,,,,,,
mongo,991,closed,title,2015-06-30 14:43:22,00:00,,1,,"b""b' SERVER-18955 Have sendNextBatch set the correct batch'""",,,,,,,,,,,
mongo,991,closed,body,2015-06-30 14:43:22,00:00,,1,,"b""b' ShardedClientCursor::sendNextBatch should set the correct batch size prior to all calls to more() or next().  Currently", if the first call to more() for a getMore requires calling to the shard," batch size 0 is used if the prior iteration of the loop exited due to docCount reaching batchSize.'""",,,,,,,,,
mongo,991,closed,closed,2015-09-18 14:36:26,1433.07,0,2,0,,,,,,,,,,,,
mongo,991,closed,1,2015-06-30 14:43:22,20.57,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,991,closed,reopened,2015-09-18 15:03:56,27.5,0,3,0,,,,,,,,,,,,
mongo,991,closed,2,2015-06-30 14:43:22,412.18,,,1,"b'b"" Looks like [SERVER-18955]url  was fixed a while back but we forgot to close the pull request", so I\'m closing it now.  Cheers," Ram\\xc3\\xb3n.""'",,,,,,,,,
mongo,991,closed,closed,2016-12-13 21:56:07,412.18,0,3,1,,,,,,,,,,,,
mongo,991,closed,-,-,-,0,3,1,,,,,,,,,,,,
mongo,992,closed,opened,2015-07-05 13:46:03,,,,,,,,,,,,,,,,
mongo,992,closed,title,2015-07-05 13:46:03,00:00,,1,,"b""b' SERVER-18506: Make the balancer section of printShardingStatus() respect the passed-in configDB'""",,,,,,,,,,,
mongo,992,closed,closed,2015-09-18 14:36:27,50.4,0,1,0,,,,,,,,,,,,
mongo,992,closed,1,2015-07-05 13:46:03,78.83,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,992,closed,reopened,2015-09-18 15:04:53,28.43,0,2,0,,,,,,,,,,,,
mongo,992,closed,2,2015-07-05 13:46:03,422.17,,1,,"b""b' SERVER-18506 has been resolved.'""",,,,,,,,,,,
mongo,992,closed,closed,2015-09-18 22:07:03,422.17,0,3,0,,,,,,,,,,,,
mongo,992,closed,-,-,-,0,3,0,,,,,,,,,,,,
mongo,993,closed,opened,2015-07-06 10:50:07,,,,,,,,,,,,,,,,
mongo,993,closed,title,2015-07-06 10:50:07,00:00,,1,,"b""b' SERVER-23108: shell features () and ()'""",,,,,,,,,,,
mongo,993,closed,body,2015-07-06 10:50:07,00:00,,1,,"b""b' () -() -'""",,,,,,,,,,,
mongo,993,closed,closed,2015-09-18 14:36:27,226.33,0,2,0,,,,,,,,,,,,
mongo,993,closed,1,2015-07-06 10:50:07,253.22,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,993,closed,reopened,2015-09-18 15:03:20,26.88,0,3,0,,,,,,,,,,,,
mongo,993,closed,2,2015-07-06 10:50:07,1341.23,1,,,"b'b"" Hi @blowhacker", apologies for the long delay in getting back to you. I can\'t find a JIRA ticket for this PR, have you opened one? If not, please [open a ticket in the SERVER project]url  When you open the JIRA ticket, please clarify what\'s the use case this pull request is trying to address. Also since you opened this PR MongoDB has added the [$sample operator]url  which I wonder if it meets some of your needs. Thanks,"Ram\\xc3\\xb3n.""'",,,,,,
mongo,993,closed,3,2015-07-06 10:50:07,1374.62,,,1,"b""b' @ramonfm thanks for your reply. I never created a JIRA. $sample might be useful for the fields() feature.*edit to get a set of fields in a collection"," the latest documents would probably be more useful than a $sample I have created a jira here url Let me know if you would like me to merge with the latest master. thanks'""",,,,,,,,,,
mongo,993,closed,4,2015-07-06 10:50:07,293.1,,1,,"b""b' Closing as per url '""",,,,,,,,,,,
mongo,993,closed,closed,2016-03-22 17:12:17,128.95,1,4,1,,,,,,,,,,,,
mongo,993,closed,-,-,-,1,4,1,,,,,,,,,,,,
mongo,995,closed,opened,2015-07-07 14:15:26,,,,,,,,,,,,,,,,
mongo,995,closed,title,2015-07-07 14:15:26,00:00,,1,,"b""b' SERVER-6233: Support Connection String URI Format for mongo shell'""",,,,,,,,,,,
mongo,995,closed,body,2015-07-07 14:15:26,00:00,,1,,"b""b' Support Connection String URI Format for mongo auth. Example usage:  Jira Reference: url '""",,,,,,,,,,,
mongo,995,closed,1,2015-07-07 14:15:26,0.55,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,995,closed,2,2015-07-07 14:15:26,19.12,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,995,closed,3,2015-07-07 14:15:26,12.68,,1,,"b""b' :+1: '""",,,,,,,,,,,
mongo,995,closed,4,2015-07-07 14:15:26,23.0,,1,,"b""b' +++'""",,,,,,,,,,,
mongo,995,closed,5,2015-07-07 14:15:26,25.77,,,1,"b""b' Used standart regex (Thank @acmorrow for help"," url Optional password'""",,,,,,,,,,
mongo,995,closed,6,2015-07-07 14:15:26,0.43,,1,,"b""b' one more +1 :)'""",,,,,,,,,,,
mongo,995,closed,7,2015-07-07 14:15:26,137.32,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,995,closed,8,2015-07-07 14:15:26,238.62,,1,,"b""b' +'""",,,,,,,,,,,
mongo,995,closed,9,2015-07-07 14:15:26,519.9,,1,,"b""b' +'""",,,,,,,,,,,
mongo,995,closed,10,2015-07-07 14:15:26,791.93,,,1,"b""b' :+1: Please!'""",,,,,,,,,,,
mongo,995,closed,11,2015-07-07 14:15:26,1380.8,,,1,"b'b"" @dutchakdev Thanks for the pull request. As described in our contributor\'s guide"," you will need to sign the [contributor\'s agreement]url  before we can accept this change.""'",,,,,,,,,,
mongo,995,closed,closed,2015-09-18 14:36:27,21.02,0,10,3,,,,,,,,,,,,
mongo,995,closed,12,2015-07-07 14:15:26,1219.57,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,995,closed,reopened,2015-09-18 15:05:07,28.67,0,11,3,,,,,,,,,,,,
mongo,995,closed,13,2015-07-07 14:15:26,51.78,,1,,"b""b' Omg"," +100'""",,,,,,,,,,
mongo,995,closed,14,2015-07-07 14:15:26,1319.77,,1,,"b""b' @markbenvenuto done :)'""",,,,,,,,,,,
mongo,995,closed,15,2015-07-07 14:15:26,212.05,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,995,closed,16,2015-07-07 14:15:26,1261.83,,,1,"b""b' @dutchakdev", thanks for submitting this pull request. When looking at how it could be merged," we decided that we needed to take a different approach to adding URI support to the shell; this was pushed last night in url  Thanks for contributing to MongoDB this PR definitely helped push to get this feature done!'""",,,,,,,,,
mongo,995,closed,closed,2015-10-14 14:30:33,1405.43,0,14,4,,,,,,,,,,,,
mongo,995,closed,-,-,-,0,14,4,,,,,,,,,,,,
mongo,1007,closed,opened,2015-08-10 03:06:19,,,,,,,,,,,,,,,,
mongo,1007,closed,title,2015-08-10 03:06:19,00:00,,1,,"b""b' SERVER-14864: making logging better when using fallocate or sparse files'""",,,,,,,,,,,
mongo,1007,closed,body,2015-08-10 03:06:19,00:00,,1,,"b""b' Testing done: I created a mongodb instance with default file allocation as mmap v01 and checked the logs. The logs did not display that they were zeroing out my file as they were using fallocate for allocating the file.'""",,,,,,,,,,,
mongo,1007,closed,closed,2015-09-18 14:36:27,690.13,0,2,0,,,,,,,,,,,,
mongo,1007,closed,1,2015-08-10 03:06:19,720.43,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,1007,closed,reopened,2015-09-18 15:06:45,30.3,0,3,0,,,,,,,,,,,,
mongo,1007,closed,2,2015-08-10 03:06:19,1332.92,,,1,"b'b"" @ankitm111", I\'ve bumped [SERVER-14864]url  so it gets reconsidered in the next round of planning. Thanks for your patience. Cheers,"Ram\\xc3\\xb3n.""'",,,,,,,,,
mongo,1007,closed,3,2015-08-10 03:06:19,692.07,,1,,b'b\' Hi @ankitm111  Thanks for submitting this pull request. In addition to the inline comments," could you please add a log message at line 258 to explicitly log the fallocate() case?  The added log message should be similar to the one on line 250 (ie. ""LOG(1)""). Best regards",Kev\'',,,,,,,,,
mongo,1007,closed,4,2015-08-10 03:06:19,165.28,,,1,"b""b' This has now been resolved by url  which incorporates the above suggestions into the original changes.  Thank you again for raising this pull request.'""",,,,,,,,,,,
mongo,1007,closed,closed,2017-06-08 03:37:01,750.27,0,4,2,,,,,,,,,,,,
mongo,1007,closed,-,-,-,0,4,2,,,,,,,,,,,,
mongo,1072,closed,opened,2016-03-12 12:25:55,,,,,,,,,,,,,,,,
mongo,1072,closed,title,2016-03-12 12:25:55,00:00,,1,,"b""b' [wip] Prevent the mongo shell from being crashed by exception when query is executed.'""",,,,,,,,,,,
mongo,1072,closed,body,2016-03-12 12:25:55,00:00,1,,,"b'b"" Sorry fo submitting this PR while being very premature.. But I can\'t stand SEGVs anymore..""'",,,,,,,,,,,
mongo,1072,closed,1,2016-03-12 12:25:55,1.23,,1,,"b'b"" Preferably", i want the mongo shell get back to the repl mode when SIGINT is received... However, just glancing bit the codebase," I can tell it can\'t be done just a line or two of patching... ;)""'",,,,,,,,
mongo,1072,closed,2,2016-03-12 12:25:55,13.67,,,1,"b'b"" @ryoqun ", thanks for taking the time to put together a pull request. Please see the [contributor\'s guide]url  for information on the required steps to get this considered, including opening a JIRA ticket and signing the [contributor agreement]url  Thanks,"Ram\\xc3\\xb3n.""'",,,,,,,,
mongo,1072,closed,3,2016-03-12 12:25:55,45.82,,,1,"b""b' Yeah"," that would be nice that a ^C during an op kills the op rather than the shell (leaving the op running).'""",,,,,,,,,,
mongo,1072,closed,4,2016-03-12 12:25:55,6.2,,1,,"b""b' @ryoqun How about removing two printf line?'""",,,,,,,,,,,
mongo,1072,closed,5,2016-03-12 12:25:55,561.35,,,1,"b'b"" @ramonfm @ramnes @charsyam Thanks for replies.. Well"," I\'ve been extremely busy by our business these days and will be for another couple weeks...""'",,,,,,,,,,
mongo,1072,closed,6,2016-03-12 12:25:55,9.37,1,,,"b'b"" I\'m terribly sorry however I can\'t afford some time required to do some paper work considering relative amount of code (well", it\'s just 4 LINES). So, if someone is interested in this, I want he to continue to work on this. I\'m really happy with that. Formally," I hereby declare to waive any copyright ownership or whatsoever regarding this modification. That means I intend my modification to be treated as public domain. I don\'t know this declaration works (I\'m not an attorney..) Sorry for my selfish attitude..""'",,,,,,,
mongo,1072,closed,7,2016-03-12 12:25:55,1.68,,,1,"b'b"" If noone pops in", I\'ll resume this work once my business got stable.. :) Anyway," thanks for creating great software. We\'re using Mongo DB by our business of course!""'",,,,,,,,,
mongo,1072,closed,8,2016-03-12 12:25:55,9.38,1,,,"b""b' Hmm", this does work when connecting to mongo 2.x," but not to mongo 3.x??? Sorry my work is incomplete..'""",,,,,,,,,
mongo,1072,closed,9,2016-03-12 12:25:55,980.68,,,1,"b'b"" Thanks for the update @ryoqun. I\'m going to close this pull request for the time being. When you\'re ready to resume your work please take a look at the [Contributor Guide]url  for details on how to proceed.""'",,,,,,,,,,,
mongo,1072,closed,closed,2016-05-13 15:35:23,189.47,3,3,5,,,,,,,,,,,,
mongo,1072,closed,reopened,2016-05-13 15:35:31,0.13,3,3,5,,,,,,,,,,,,
mongo,1072,closed,closed,2016-05-13 15:36:04,0.55,3,3,5,,,,,,,,,,,,
mongo,1072,closed,-,-,-,3,3,5,,,,,,,,,,,,
mongo,1097,closed,opened,2016-07-03 19:10:21,,,,,,,,,,,,,,,,
mongo,1097,closed,title,2016-07-03 19:10:21,00:00,,1,,"b""b' SERVER-24717 Rename ExpressionContext to AggregationExecContext'""",,,,,,,,,,,
mongo,1097,closed,body,2016-07-03 19:10:21,00:00,,1,,"b""b' SERVER-24717 Rename ExpressionContext to AggregationExecContext'""",,,,,,,,,,,
mongo,1097,closed,closed,2016-07-03 19:10:43,0.37,0,2,0,,,,,,,,,,,,
mongo,1097,closed,reopened,2016-07-03 19:10:47,0.07,0,2,0,,,,,,,,,,,,
mongo,1097,closed,1,2016-07-03 19:10:21,92.33,1,,,"b""b' Hi @voronytskyi", Apologies for the delay in evaluating this request. As you can imagine, for the last few months we have been hard at work completing feature development for the 3.4 release. We are now entering a stabilization period in which we are focused on quality and performance, which is a much better time for code cleanup such as this. If you post an updated version of this change, rebased on a recent revision of the master branch, I would be happy to review. Best,"Dave'""",,,,,
mongo,1097,closed,2,2016-07-03 19:10:21,1160.58,1,,,"b""b' Hi @voronytskyi", I am going to close this pull request, since it is significantly out of date with the master branch. We are currently entering a stabilization period for the MongoDB 3.4 release, so we will be unlikely to accept changes of this kind of the next few months. If you would like to revisit, however, feel free to open a new PR. Again, apologies for the delay in getting to this! Best,"Dave'""",,,,
mongo,1097,closed,closed,2016-09-20 16:03:16,1252.48,2,2,0,,,,,,,,,,,,
mongo,1097,closed,-,-,-,2,2,0,,,,,,,,,,,,
