REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,88,closed,4,2011-08-09 18:45:45,747.17,,,1,"b'b"" Why do I always fatfinger the \'close issue\' button? Half-baked thought: when we return a File"," we don\'t do any magic for content type detection.  The default servlet builds this in.  A serve method that called the default servlet for a given path might be a really nice mixin.""'",,,,,
scalatra,88,closed,5,2011-08-09 18:45:45,110.82,,1,,"b'b"" Like a Regarding file extension to mime-type mappings", I\'ve found that by default Jetty has correct mime types for .html, ..xhtml, and .rdf files," but not .json or .ttl.  I needed to add these to  in the form of:  ""'",,
scalatra,88,closed,6,2011-08-09 18:45:45,13.53,,,1,"b'b"" Good tip.  This should be added to the docs.  We\'re getting _a lot_ of questions about serving static content.""'",,,,,,
scalatra,88,closed,7,2011-08-09 18:45:45,1431.8,,1,,"b""b' Accept header support in 27507bb.'""",,,,,,
scalatra,88,closed,closed,2011-08-29 20:58:47,122.07,0,6,3,,,,,,,
scalatra,88,closed,-,-,-,0,6,3,,,,,,,
scalatra,148,closed,opened,2011-12-18 05:18:12,,,,,,,,,,,
scalatra,148,closed,title,2011-12-18 05:18:12,00:00,,1,,"b""b' After filters run synchronously on asynchronous requests'""",,,,,,
scalatra,148,closed,body,2011-12-18 05:18:12,00:00,,1,,"b'b"" Is this really a bug", or do users just need to understand that\'s how after filters work?How do we reliably detect that an action ran asynchronously?  Currently," async behavior is triggered by returning an Akka Future.  What about  and  and ad hoc asynchronous Servlet API invocations?""'",,,,
scalatra,148,closed,closed,2012-06-18 15:21:14,603.03,0,2,0,,,,,,,
scalatra,148,closed,reopened,2012-06-18 15:22:02,0.8,0,2,0,,,,,,,
scalatra,148,closed,closed,2012-06-18 15:24:23,2.35,0,2,0,,,,,,,
