REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,164,closed,3,2011-09-21 04:50:03,8.8,,1,,"b'b"" Looking through the source", the files all use _, but I see no such line in there? I think this being an option in the config file is useful, e.g. in _, then all the template files can be updates so they use this. Otherwise, one must hack the template source," which isn\'t ideal.""'",,,,,,,,,
octopress,164,closed,reopened,2011-10-18 06:58:33,1000.85,0,4,1,,,,,,,,,,,,,,,,
octopress,164,closed,4,2011-09-21 04:50:03,7.9,,,1,"b'b"" Good point. I\'ll add a config flag for date \\xe2\\x80\\xa6""'",,,,,,,,,,,,,,,
octopress,164,closed,5,2011-09-21 04:50:03,141.2,1,,,"b'b"" I had a look at this issue again", unfortunately something like isn\'t evaluated by Liquid and a filter (like  ) doesn\'t know he\'s running in a Jekyll context," so I can\'t access the config variables at this point without ugly hacking.""'",,,,,,,,,,,,,
octopress,164,closed,6,2011-09-21 04:50:03,19.45,,1,,"b'b"" Interesting. Which template files would need to be edited", and how? It could be added to the documentation, I suppose. Why not let  take care of the date format? It could be argued that the date format is something a site author would want to set regardless of the template used," so not using the Liquid filter isn\'t so bad.""'",,,,,,,,,,,,
octopress,164,closed,7,2011-09-21 04:50:03,67.22,,1,,"b'b"" You only need to modify to adjust the date output. Default date output in Ruby looks like this: ... not very pretty. Jekyll doesn\'t provide methods to format the output"," it\'s only provided by Liquid (the template engine used). And that\'s the filter described above.""'",,,,,,,,,,,,,,
octopress,164,closed,8,2011-09-21 04:50:03,7.2,,1,,"b'b"" I was thinking more of Ruby\'s strftime method:url  This could then be used in conjunction with a config variable.""'",,,,,,,,,,,,,,,
octopress,164,closed,9,2011-09-21 04:50:03,104.9,,1,,"b'b"" Ok", I found a solution: I monkey patched Jekyll\'s to_liquid method to not just provide but also  , which returns a strftime() formatted version of the date, which can be configured in _. I hope this will solve your issue," will commit it later.""'",,,,,,,,,,,
octopress,164,closed,10,2011-09-21 04:50:03,4.33,,,1,"b""b' Brilliant! Should make those of us not in the US happier with the date formats!'""",,,,,,,,,,,,,,,
octopress,164,closed,closed,2011-10-18 15:46:53,528.33,1,8,3,,,,,,,,,,,,,,,,
octopress,164,closed,11,2011-09-21 04:50:03,1021.45,,1,,"b""b' Turns out this works for blog posts"," but not static pages. The time information in the tags is empty. Is it supposed to take care of formatting the updated date too?'""",,,,,,,,,,,,,,
octopress,164,closed,12,2011-09-21 04:50:03,16.1,,1,,b'b\' It\\\'s only applied to posts so far, but I\\\'ll add it for pages," too (I need to override Jekyll\\\'s own methods for that). [In a later commit]url  I removed the support for ""updated"":  \''",,,,,,,,,,,,,
octopress,164,closed,13,2011-09-21 04:50:03,1227.75,,1,,"b""b' Does that mean that other commit mean we can no longer get last updated info displayed on pages? It was working previously.'""",,,,,,,,,,,,,,,
octopress,164,closed,14,2011-09-21 04:50:03,1297.1,,1,,"b'b"" @sfahmy Do you set the date manually in the YAML header of your post?I only removed the flag", because it\'s not provided by Jekyll (e.g. in case you update your post). So I was wondering," where it came from ...""'",,,,,,,,,,,,,
octopress,164,closed,15,2011-09-21 04:50:03,11.77,,1,,"b'b"" Correct"," I set the to a date in the YAML header. That would result in the updated date being added at the bottom of pages. It\'s more useful for static pages than blog posts.""'",,,,,,,,,,,,,,
octopress,164,closed,16,2011-09-21 04:50:03,23.78,,1,,"b""b' It looks like this is already somehow doable in Jekyll:url '""",,,,,,,,,,,,,,,
octopress,164,closed,17,2011-09-21 04:50:03,81.37,1,,,"b'b"" Ah", ok. I\'ll add back support for and will commit the changes in the evening. I\'m sorry," if this caused any inconvenience for you.""'",,,,,,,,,,,,,
octopress,164,closed,18,2011-09-21 04:50:03,413.07,,1,,"b""b' @sfahmy: Updated flag is back and custom dates work on pages"," too.'""",,,,,,,,,,,,,,
octopress,164,closed,19,2011-09-21 04:50:03,805.8,,,1,"b""b' Great"," works perfectly! Now I need to see how I might hack it so it ordinalizes even non standard date formats :) But that looks hard!'""",,,,,,,,,,,,,,
octopress,164,closed,20,2011-09-21 04:50:03,1110.17,,1,,"b'b"" No"," it\'s not. ;) I just added as ordinal representation of the day. Just use it in your date format string.""'",,,,,,,,,,,,,,
octopress,164,closed,21,2011-09-21 04:50:03,1126.3,,,1,"b'b"" Fantastic! There\'s an error on line 39 though. It should read :  The extra messed things up"," such that each page would have an increasing number of % signs prepending the date. I just fixed it locally.""'",,,,,,,,,,,,,,
octopress,164,closed,22,2011-09-21 04:50:03,1137.22,,1,,"b""b' The second was used as an escapement"," but obviously this is not needed in Ruby. You can remove the line altogether.'""",,,,,,,,,,,,,,
octopress,164,closed,-,-,-,2,17,5,,,,,,,,,,,,,,,,
octopress,165,closed,opened,2011-09-21 05:03:45,,,,,,,,,,,,,,,,,,,,
octopress,165,closed,title,2011-09-21 05:03:45,00:00,,1,,"b""b' Expand  URLs in Twitter aside using Tweet Entities'""",,,,,,,,,,,,,,,
octopress,165,closed,body,2011-09-21 05:03:45,00:00,,,1,"b""b' The Javascript Twitter script does not use tweet entities", which means that all URLs now display as \\xe2\\x80\\xa6 since Twitter is now shortening all of them. It might be good to modify the Twitter script so it uses the new Tweet Entities," and can thus display a nicely formed expanded URL. url  (Edit: spelling)'""",,,,,,,,,,,,,
octopress,165,closed,1,2011-09-21 05:03:45,2.28,,,1,"b""b' I was hoping I could expand Twitter urls"," but I was unaware of this. Thanks!'""",,,,,,,,,,,,,,
octopress,165,closed,closed,2011-09-26 11:56:25,412.67,0,1,2,,,,,,,,,,,,,,,,
octopress,165,closed,2,2011-09-21 05:03:45,1151.93,,,1,b'b\' Something about the URL expanding still seems to be broken. Take a look at url  the link to url  in url  is fine, but both links to subsections of the deployment docs are broken in url  and url  (Also," the date for the three older tweets only displays as ""false"".)\''",,,,,,,,,,,,,
octopress,165,closed,3,2011-09-21 05:03:45,12.58,,,1,"b""b' Yikes! good catch"," thanks!'""",,,,,,,,,,,,,,
octopress,165,closed,reopened,2011-09-30 00:54:49,778.4,0,1,4,,,,,,,,,,,,,,,,
octopress,165,closed,4,2011-09-21 05:03:45,29.48,,,1,"b""b' Fixed! thanks again.'""",,,,,,,,,,,,,,,
octopress,165,closed,closed,2011-09-30 01:00:02,5.22,0,1,5,,,,,,,,,,,,,,,,
octopress,165,closed,-,-,-,0,1,5,,,,,,,,,,,,,,,,
octopress,179,closed,opened,2011-09-26 03:55:03,,,,,,,,,,,,,,,,,,,,
octopress,179,closed,title,2011-09-26 03:55:03,00:00,,1,,"b'b"" Delicious integration doesn\'t work"," it\'s using a / (which may not exist)""'",,,,,,,,,,,,,,
octopress,179,closed,body,2011-09-26 03:55:03,00:00,,1,,b'b\' I\\\'m setting up an octopress blog for the first time, and I\\\'m trying to get the delcious, aside plugin to work," and I might be misunderstanding something. It seems that the  is referencing a delicious stream format of ""js"": url {{  }}?title=&amp;count={{  }}&amp;sort=date&amp;extended On their website I only see 2 formats supported: url If I try to hit the /js/ feed format I get a 404 Not Found /v2/ : url  I do seem to get data back from: url  Although that seems to be an empty JSON array response when I send it a count (which is bizarre also):url  I\\\'m interested in helping out and perhaps writing a Javascript callback that\\\'s called when the JSON feed is returned from delicious.  Or maybe I\\\'m completely missing something else and this is working.\''",,,,,,,,,,,,
octopress,179,closed,1,2011-09-26 03:55:03,106.18,,1,,b'b\' Hmm, you\\\'re right \\xe2\\x80\\xa6 the /js/ version doesn\\\'t work. However," I get a nonempty response when just providing a count (in fact it\\\'s the same as with ""extended""). \''",,,,,,,,,,,,,
octopress,179,closed,2,2011-09-26 03:55:03,94.08,1,,,"b""b' Can you please try if this works for you (): I came across a **very** strange issue here: As soon as you attach the callback parameter"," the response seems to become single quoted and fails to be parsed. At least on my machine.'""",,,,,,,,,,,,,,
octopress,179,closed,3,2011-09-26 03:55:03,305.98,,1,,"b""b'   returns broken JSON when callback param is added (single quoted properties).Switching back to v1 does the trick.'""",,,,,,,,,,,,,,,
octopress,179,closed,closed,2011-09-26 12:21:18,506.25,1,4,0,,,,,,,,,,,,,,,,
octopress,179,closed,4,2011-09-26 03:55:03,173.72,,,1,"b'b"" Delicious just moved from Yahoo! to AVOS", which broke parts of the API.I\'m waiting for the first dust to settle and test the API again. At the moment v1 seems to be gone completely, now v2 seems to work with JSONP," but omits the actual tags.""'",,,,,,,,,,,,
octopress,179,closed,reopened,2011-10-04 19:02:14,400.93,1,4,1,,,,,,,,,,,,,,,,
octopress,179,closed,closed,2011-10-06 16:31:56,1289.7,1,4,1,,,,,,,,,,,,,,,,
octopress,179,closed,-,-,-,1,4,1,,,,,,,,,,,,,,,,
octopress,187,closed,opened,2011-09-30 00:47:06,,,,,,,,,,,,,,,,,,,,
octopress,187,closed,title,2011-09-30 00:47:06,00:00,,1,,"b""b' Best way to override ?'""",,,,,,,,,,,,,,,
octopress,187,closed,body,2011-09-30 00:47:06,00:00,,,1,"b'b"" I\'m partial to solarized light but am not sure of how to best override css so that my changes aren\'t over-written on an update"," and so that my edits actually show up as desired.  Any pointers on that? Thanks!""'",,,,,,,,,,,,,,
octopress,187,closed,1,2011-09-30 00:47:06,3.97,1,,,"b""b' doh! Nevermind saw that in '""",,,,,,,,,,,,,,,
octopress,187,closed,closed,2011-09-30 00:51:04,3.97,1,1,1,,,,,,,,,,,,,,,,
octopress,187,closed,reopened,2011-09-30 00:56:01,4.95,1,1,1,,,,,,,,,,,,,,,,
octopress,187,closed,2,2011-09-30 00:47:06,4.98,,,1,"b'b"" whoops spoke too soon.  I\'ve edited the _ file as noted in the comments"," but the changes don\'t show up on the style in the generated .  Any idea why? Thanks in advance!""'",,,,,,,,,,,,,,
octopress,187,closed,3,2011-09-30 00:47:06,1204.5,1,,,"b'b"" Hey @dgdosen I just pushed better support. You\'ll want to update: url  After that"," you just need to add this to your custom colors: And it should work. Let me know if you still have trouble.""'",,,,,,,,,,,,,,
octopress,187,closed,closed,2011-10-01 21:00:33,1204.53,2,1,2,,,,,,,,,,,,,,,,
octopress,187,closed,4,2011-09-30 00:47:06,55.92,,,1,"b'b"" Sweet"," I\'m partial to solarized light in bold: ![Solarized Light]url  url ""'",,,,,,,,,,,,,,
octopress,187,closed,5,2011-09-30 00:47:06,859.73,,,1,"b'b"" I\'m having problems with this; When switching to solarized light", I\'m not getting the right background color. Don\'t know if this helps but: In the elements I\'m getting a applied to them, via in  , as opposed to when leaving the solarized light switch off. btw," it\'d be nice if issues could be reopened""'",,,,,,,,,,,
octopress,187,closed,-,-,-,2,1,4,,,,,,,,,,,,,,,,
octopress,200,closed,opened,2011-10-04 20:48:15,,,,,,,,,,,,,,,,,,,,
octopress,200,closed,title,2011-10-04 20:48:15,00:00,,1,,"b""b' changing two system() calls to use corresponding FileUtils methods'""",,,,,,,,,,,,,,,
octopress,200,closed,body,2011-10-04 20:48:15,00:00,,1,,"b'b"" eed92b63  is related to issue #190bc14e149  simply removed a system() call that seemed to duplicate a FileUtils call just a few lines above it. I\'m not able to test these on OSX.""'",,,,,,,,,,,,,,,
octopress,200,closed,1,2011-10-04 20:48:15,849.9,,,1,"b""b' Already fixed bc14e14 in commit fe19c2aaae10c8e1029282a67d3dc268ce169fd0"," will look at the cp issue.'""",,,,,,,,,,,,,,
octopress,200,closed,closed,2011-10-16 11:07:48,859.55,0,2,1,,,,,,,,,,,,,,,,
octopress,200,closed,2,2011-10-04 20:48:15,675.28,,,1,"b'b"" I just tested 82942bd on OSX 10.6 with ruby 1.9.2 and it fails with cp -r public/* _deployrake aborted!No such file or directory public/*/-1.9.2-p290/:1423:in  block in fu_each_src_dest\'/-1.9.2-p290/:1437:in  fu_each_src_dest\'/-1.9.2-p290/:432:in  cp_r\'/:233:in  call\'/-1.9.2-p290/-0.9.2/:205:in  each\'/-1.9.2-p290/-0.9.2/:200:in  block in \'/-1.9.2-p290/-0.9.2/:205:in  block in execute\'/-1.9.2-p290/-0.9.2/:200:in  execute\'/-1.9.2-p290/-0.9.2/:158:in  mon_synchronize\'/-1.9.2-p290/-0.9.2/:151:in  invoke\'/-1.9.2-p290/-0.9.2/:112:in  block (2 levels) in top_level\'/-1.9.2-p290/-0.9.2/:90:in  block in top_level\'/-1.9.2-p290/-0.9.2/:129:in  top_level\'/-1.9.2-p290/-0.9.2/:62:in  standard_exception_handling\'/-1.9.2-p290/-0.9.2/:59:in  \'/-1.9.2-p290/:19:in  \'Tasks: TOP = reverting the commit lets me deploy on OSX"," i am running pretty much all the latest gems for this.""'",,,,,,,,,,,,,,
octopress,200,closed,reopened,2011-10-17 06:19:40,1151.87,0,2,2,,,,,,,,,,,,,,,,
octopress,200,closed,3,2011-10-04 20:48:15,486.28,1,,,"b""b' @jcftang Woops"," sorry. It should work now. Can you please retest?'""",,,,,,,,,,,,,,
octopress,200,closed,4,2011-10-04 20:48:15,40.98,,,1,"b'b"" it\'s working again now"," thanks.""'",,,,,,,,,,,,,,
octopress,200,closed,closed,2011-10-17 08:08:21,108.68,1,2,3,,,,,,,,,,,,,,,,
octopress,200,closed,-,-,-,1,2,3,,,,,,,,,,,,,,,,
octopress,232,closed,opened,2011-10-20 21:11:01,,,,,,,,,,,,,,,,,,,,
octopress,232,closed,title,2011-10-20 21:11:01,00:00,,1,,"b""b' utf-8 not working in code blocks'""",,,,,,,,,,,,,,,
octopress,232,closed,body,2011-10-20 21:11:01,00:00,1,,,b'b\' given the following post: test post with \\xc3\\xa4\\xc3\\xbc\\xc3\\x9f  creates a post looking like this: So," I think there is something wrong with encoding. The strange thing is: five \\xc3\\xa4 (""\\xc3\\xa4\\xc3\\xa4\\xc3\\xa4\\xc3\\xa4\\xc3\\xa4"") does work", but less then five doesn\\\'t work. /edit/if the codeblock contains more than 4 special chars, then encoding works. no matter where there are placed.\'',,,,,,,,,,,,
octopress,232,closed,closed,2011-10-21 07:24:06,613.08,1,1,0,,,,,,,,,,,,,,,,
octopress,232,closed,1,2011-10-20 21:11:01,613.88,,1,,"b""b' Should work again"," added a parameter to the Pygments highlighter to treat code input as utf-8.'""",,,,,,,,,,,,,,
octopress,232,closed,2,2011-10-20 21:11:01,172.0,1,,,"b'b"" @fhemberger: I\'m sorry to say"," that the problem still exists :(""'",,,,,,,,,,,,,,
octopress,232,closed,reopened,2011-10-21 11:28:03,243.95,2,2,0,,,,,,,,,,,,,,,,
octopress,232,closed,3,2011-10-20 21:11:01,74.07,,1,,"b'b"" Hmm"," tested it with your example and it works for me. with one to 4 \\xc3\\xa4\'s.System: OS X 10.6.8 with Ruby 1.9.2-p290""'",,,,,,,,,,,,,,
octopress,232,closed,4,2011-10-20 21:11:01,28.38,,1,,"b'b"" I tested it on windows xp.But I didn\'t get invalid texts. This change seems working for me.""'",,,,,,,,,,,,,,,
octopress,232,closed,5,2011-10-20 21:11:01,38.72,,1,,"b'b"" I think its a bug in jekyll. I moved to another machine (archlinux"," ruby1.9.2-p290) and there I can\'t run \'rake generate\' when I have umlauts in a post. I fixed that with changing the line 29 in  from to now it works on both machines with umlauts in code blocks and normal text. (the other machine is an ubuntu 11.04)""'",,,,,,,,,,,,,,
octopress,232,closed,6,2011-10-20 21:11:01,13.85,,1,,"b""b' Or Or  '""",,,,,,,,,,,,,,,
octopress,232,closed,7,2011-10-20 21:11:01,69.4,1,,,"b'b"" Ok"," there is something strange going on. My hack fixes the error but not all encoding problems:  doesn\'t work:   works (just added a space after the \\xc3\\xa4):    works (no space after but indented one space):    works (space after but another comment before):    works:   You can download the test file here: url ""'",,,,,,,,,,,,,,
octopress,232,closed,8,2011-10-20 21:11:01,981.75,,1,,"b'b"" @benben Your testcase works for me on OS X without your patch. I\'ve set in my environment. Update: Also works on Windows with env variables set:  ""'",,,,,,,,,,,,,,,
octopress,232,closed,9,2011-10-20 21:11:01,795.95,,1,,"b'b"" Closed: #worksforme (if there are further questions"," I\'ll reopen the ticket)""'",,,,,,,,,,,,,,
octopress,232,closed,closed,2011-11-03 19:39:01,490.97,3,8,0,,,,,,,,,,,,,,,,
octopress,232,closed,10,2011-10-20 21:11:01,854.78,,,1,"b""b' using utf-8 encoding to save all the files works all the time!'""",,,,,,,,,,,,,,,
octopress,232,closed,11,2011-10-20 21:11:01,946.58,,,1,"b'b"" Thanks","that\'s ok now.""'",,,,,,,,,,,,,,
octopress,232,closed,12,2011-10-20 21:11:01,627.72,,1,,"b'b\' should write the below code at the first line in scss file :@charset ""utf-8"";\''",,,,,,,,,,,,,,,
octopress,232,closed,13,2011-10-20 21:11:01,804.22,,,1,"b'b\' thanks scss file  header write @charset ""utf-8""Solved the problem\''",,,,,,,,,,,,,,,
octopress,232,closed,-,-,-,3,9,3,,,,,,,,,,,,,,,,
octopress,243,closed,opened,2011-10-23 20:20:23,,,,,,,,,,,,,,,,,,,,
octopress,243,closed,title,2011-10-23 20:20:23,00:00,,1,,"b""b' Liquid error: undefined method Syntax Highlighting Ubuntu Oneiric'""",,,,,,,,,,,,,,,
octopress,243,closed,body,2011-10-23 20:20:23,00:00,,,1,b'b\' After upgrading into Ubuntu Oneiric, i found error syntax highlighting {% codeblock %}  at my octopress blog : This is because Liquid 2.3.0. So," i downgrade into Liquid 2.2.2 and solve this problem. Somebody also facing [this problem]url I post [""How to develop Octopress on Ubuntu Oneiric""]url  to help people avoid rake install error and syntax hightlighting. Thanks\''",,,,,,,,,,,,,
octopress,243,closed,1,2011-10-23 20:20:23,586.98,,,1,"b""b' Thank you for pointing this out"," I added the Liquid version to the Gemfile.'""",,,,,,,,,,,,,,
octopress,243,closed,closed,2011-10-24 06:08:15,587.87,0,1,2,,,,,,,,,,,,,,,,
octopress,243,closed,2,2011-10-23 20:20:23,1041.4,,1,,"b""b' what can I do if I need to use liquid 2.3 because of jekyll?'""",,,,,,,,,,,,,,,
octopress,243,closed,3,2011-10-23 20:20:23,423.6,,1,,"b""b' Try the following:", line 67: Replace with  . The same error also exists in the blockquote plugin:," line 49: Replace with  '""",,,,,,,,,,,,,
octopress,243,closed,reopened,2012-07-12 06:32:28,24.22,0,3,2,,,,,,,,,,,,,,,,
octopress,243,closed,4,2011-10-23 20:20:23,102.93,,1,,"b""b' Could you tell me what the problem is? Is the .map method deprecated?btw I have to fix this one:  '""",,,,,,,,,,,,,,,
octopress,243,closed,5,2011-10-23 20:20:23,1134.75,,1,,"b""b' I fixed that particular plugin by changing that line to  '""",,,,,,,,,,,,,,,
octopress,243,closed,6,2011-10-23 20:20:23,1118.48,,,1,"b""b' Jon that helped so much with something I struggled with all day. Thank you!'""",,,,,,,,,,,,,,,
octopress,243,closed,closed,2013-11-18 03:55:27,1282.98,0,5,3,,,,,,,,,,,,,,,,
octopress,243,closed,-,-,-,0,5,3,,,,,,,,,,,,,,,,
octopress,252,closed,opened,2011-10-28 12:39:42,,,,,,,,,,,,,,,,,,,,
octopress,252,closed,title,2011-10-28 12:39:42,00:00,1,,,"b""b' Weird  behavior'""",,,,,,,,,,,,,,,
octopress,252,closed,body,2011-10-28 12:39:42,00:00,,1,,"b'b"" Hello! I\'ve just installed Octopress and see a weird thing: Github aside doesn\'t work and Chromium\'s development tools say:  ; later on I\'ve found that variable is undefined in this scope. Sincerely"," Pavel.""'",,,,,,,,,,,,,,
octopress,252,closed,closed,2011-10-28 14:21:17,101.58,1,1,0,,,,,,,,,,,,,,,,
octopress,252,closed,1,2011-10-28 12:39:42,101.62,,1,,"b'b"" Hmm"," is your github username spelled correct in _?I added a patch so  doesn\'t throw an error when there\'s a problem receiving repositories.""'",,,,,,,,,,,,,,
octopress,252,closed,2,2011-10-28 12:39:42,48.28,,1,,"b'b"" Yes"," it is correct. I\'ll check the thing with this recent patch.""'",,,,,,,,,,,,,,
octopress,252,closed,3,2011-10-28 12:39:42,14.32,,1,,"b""b' No error now but still no result displayed. You can check my config at argent-'""",,,,,,,,,,,,,,,
octopress,252,closed,4,2011-10-28 12:39:42,185.5,,1,,"b'b"" Hmm. Maybe it\'s because of the single quotes around your username?If you\'re using Firefox or Chrome"," please check the development console for a GET request to:url ""'",,,,,,,,,,,,,,
octopress,252,closed,reopened,2011-10-28 18:29:27,248.17,1,5,0,,,,,,,,,,,,,,,,
octopress,252,closed,5,2011-10-28 12:39:42,62.68,1,,,"b'b"" I can repeat without them (actually", I\'ve inserted them just before writing the last message), no difference. However, I\'ll do this so you could see. Again, the source is at my repo, the result runs on  as url  For the result of the testing URL," see Gist 1323221""'",,,,,,,,,
octopress,252,closed,6,2011-10-28 12:39:42,1016.85,,,1,"b""b' Hmm", this is strange indeed. Request result is fine," this need more investigating.'""",,,,,,,,,,,,,
octopress,252,closed,7,2011-10-28 12:39:42,1423.02,,1,,"b'b"" @argent-smith: Ok", I found the reason. It has nothing to do with Octopress but with an illegal character in the description of one of your repositories: As soon as I empty the description field, this is parsed as valid JS. Here is the explanation to the problem: url  I tried to trim it down a bit: I\'m not sure, whether it\'s exactly the invisible character described in the article above," but something _is_ there.""'",,,,,,,,,,,
octopress,252,closed,8,2011-10-28 12:39:42,93.03,,,1,"b'b"" Thanks a lot! I\'ll find and purge it.""'",,,,,,,,,,,,,,,
octopress,252,closed,closed,2011-11-04 13:45:00,1155.55,2,6,2,,,,,,,,,,,,,,,,
octopress,252,closed,9,2011-10-28 12:39:42,60.17,,1,,"b'b"" I\'ll also sent an email to GitHub so they can look into the issue. These chars should be filtered by the API.""'",,,,,,,,,,,,,,,
octopress,252,closed,10,2011-10-28 12:39:42,62.7,,,1,"b""b' Thanks  for that!'""",,,,,,,,,,,,,,,
octopress,252,closed,-,-,-,2,7,3,,,,,,,,,,,,,,,,
octopress,431,closed,opened,2012-02-17 22:33:33,,,,,,,,,,,,,,,,,,,,
octopress,431,closed,title,2012-02-17 22:33:33,00:00,,1,,"b""b' Break atom feeds with excerpt filter'""",,,,,,,,,,,,,,,
octopress,431,closed,body,2012-02-17 22:33:33,00:00,,,1,"b""b' The  files contain a full transcript", yet the front page can be configured to show an excerpt. It would be good if this could be limited as well. For the  files in the default template:   In the _:   This gives a truncated view of the feeds," such as url  and url '""",,,,,,,,,,,,,
octopress,431,closed,1,2012-02-17 22:33:33,0.5,1,,,"b""b' The above seems to have truncated the and + on the front. Apologies.'""",,,,,,,,,,,,,,,
octopress,431,closed,2,2012-02-17 22:33:33,564.78,1,,,"b""b' Truncated feeds are the root of all evil in this world.'""",,,,,,,,,,,,,,,
octopress,431,closed,3,2012-02-17 22:33:33,92.38,,1,,"b'b"" Note that this only has an effect if you have the  delimiter; otherwise the excerpt filter returns the content as-is. So no truncation takes place if you don\'t want to use it. ""'",,,,,,,,,,,,,,,
octopress,431,closed,4,2012-02-17 22:33:33,88.68,,1,,"b'b"" Well", I do want truncation on my blog\'s index page," so it\'s not bloated. Doesn\'t mean I want to force my loyal readers to read my posts in their browser instead of their RSS reader. There is nothing that drives me away from a site faster than a truncated RSS feed.""'",,,,,,,,,,,,,
octopress,431,closed,5,2012-02-17 22:33:33,627.63,1,,,"b'b"" @matrixagent I dislike truncated feeds too. A potential compromise would be to add a config variable to the site", which would default to false. If a user wants to excerpt their feeds like the blog index, they can set that to true and feeds will be truncated. I\'m on the fence about whether I want to enable truncated feeds which I really dislike," but at least this way you can have excerpts in your blog index but still have a full feed. What do you guys think?""'",,,,,,,,,,,,
octopress,431,closed,6,2012-02-17 22:33:33,279.23,1,,,"b'b"" @imathis I personally wouldn\'t even give an option\\xe2\\x80\\xa6 I would most certainly consider it a positive effect if people that still think truncating feeds is a solution rather than a problem would be driven away from Octopress. Truncated feeds are the DRM\'ed legal music downloads of the blogosphere. People who want to insult their subscribers with them should continue abusing WordPress et al. for their SEO-polluted ventures\\xe2\\x80\\xa6 But hey", it\'s your baby, you\'ll need to decide how much freedom of choice you want to deliver\\xe2\\x80\\xa6 I\'ll just always loudly voice my concern when I see potential for what I feel is abuse of something I really care about," too. ;)""'",,,,,,,,,,,,
octopress,431,closed,7,2012-02-17 22:33:33,735.77,1,,,"b'b"" The problem for me was that the code samples I was writing weren\'t showing up in the feed properly (with the backtick plugin). It got worse in that I was showing a code snippet in shell form which started with # and as such was being markdown-ed to headers. This was causing serious UI rendering failures in a web based aggregator. ""'",,,,,,,,,,,,,,,
octopress,431,closed,closed,2012-02-20 14:22:32,948.98,5,3,1,,,,,,,,,,,,,,,,
octopress,431,closed,reopened,2012-02-20 14:37:21,14.82,5,3,1,,,,,,,,,,,,,,,,
octopress,431,closed,8,2012-02-17 22:33:33,23.98,1,,,"b'b"" Sorry", didn\'t mean to close it.  The rendering above shows the problem though.  I was going to raise this as a separate issue but I solved it immediately with the excerpts feature.  I\'m ok with it being separately configurable to the main page and having excerpt_feed or similar.  I personally prefer consuming abbreviated feeds as I have a mobile browser. Smaller feeds means faster loading and I probably only read 1 in 4 articles I read the excerpt of. So I actually find excerpted feeds to be better than full feeds.  I understand not everyone feels the same way and that there are sites that use this for bad purposes such as ad-laced spam ware sites. Mine, however," is not on of them and has no ads.  The point is I\'d prefer the option to choose whether to excerpt or not rather than being prevented on principle because of someone else\'s opinion. ""'",,,,,,,,,,,,
octopress,431,closed,9,2012-02-17 22:33:33,1177.28,1,,,"b'b"" I\'d be happy to bet you that having to read those 25% percent of articles on the original webpages easily beats the traffic of simply downloading the plain text of 100% of the articles. Skimming over the excerpts is a task your newsreader should enable you to do", I even disregard most articles just by their headline.Your point in the final line is my exact reason for hating truncated feeds with a passion I\'m forcefully prevented from my way of consumption on principle because of someone else\'s opinion. When a website only offers a truncated feed, I am forced to go on their website to read an article. With my mobile browser and low bandwidth. It won\'t even do me any good to preload my feedreader at home, because once I find an interesting excerpt while reading my feeds on the way, I have to load the web page. I do actually have to have Internet access for that. None of which is true for full feeds.Your scenario however is easily recreatable with full feeds," I don\'t know any feedreader that is not able to give a truncated preview of articles.""'",,,,,,,,,,
octopress,431,closed,10,2012-02-17 22:33:33,1396.07,,1,,"b""b' Fixed in url '""",,,,,,,,,,,,,,,
octopress,431,closed,closed,2012-02-24 09:39:52,1142.52,7,4,1,,,,,,,,,,,,,,,,
octopress,431,closed,-,-,-,7,4,1,,,,,,,,,,,,,,,,
octopress,438,closed,opened,2012-02-20 21:51:39,,,,,,,,,,,,,,,,,,,,
octopress,438,closed,title,2012-02-20 21:51:39,00:00,,1,,"b""b' Raise RuntimeError when gist is unavailable #437'""",,,,,,,,,,,,,,,
octopress,438,closed,body,2012-02-20 21:51:39,00:00,,1,,"b""b' This commit raises RuntimeError if gist responds with a HTTP error preventing the error page from being included into generated text (#437).'""",,,,,,,,,,,,,,,
octopress,438,closed,closed,2012-02-21 09:00:44,669.08,0,2,0,,,,,,,,,,,,,,,,
octopress,438,closed,reopened,2012-02-21 09:08:10,7.43,0,2,0,,,,,,,,,,,,,,,,
octopress,438,closed,1,2012-02-20 21:51:39,517.93,,1,,"b'b"" Instead of using  ", use  . Otherwise, I like the handling of the error. I\'m all about catching problems and not failing silently. @imathis," what do you think?""'",,,,,,,,,,,,
octopress,438,closed,2,2012-02-20 21:51:39,10.12,,1,,"b""b' I dig it.'""",,,,,,,,,,,,,,,
octopress,438,closed,closed,2013-03-05 22:37:09,808.98,0,4,0,,,,,,,,,,,,,,,,
octopress,438,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,
octopress,444,closed,opened,2012-02-24 09:45:41,,,,,,,,,,,,,,,,,,,,
octopress,444,closed,title,2012-02-24 09:45:41,00:00,,1,,"b""b' Backtick code blocks not parsed in feed'""",,,,,,,,,,,,,,,
octopress,444,closed,body,2012-02-24 09:45:41,00:00,1,,,"b""b' The backtick code block appears not to be run in the feed", which can result in odd behaviour. For example, this post:  when put into a feed ignores the backticks," and results in the # lines being treated as markdown headers.'""",,,,,,,,,,,,
