REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,107,closed,3,2011-08-20 18:54:41,706.22,,1,,"b'b"" I have refactored a bit the Rakefile so that we now have 2 different tasks.Deployment on S3 requires a released version"," while CloudFront one needs the beta version \'til a new release of s3cmd is done. Would that work for you?""'",,,,,,,,,,,,,,
octopress,107,closed,4,2011-08-20 18:54:41,4.57,,1,,"b'b"" One more thing: it would be way better if the variable was filled from the variable defined in  . I\'m not really a Ruby expert and have to find a way to easily parse the YAML configuration file. All that would be left would be to remove the protocol from the URL and then we would have the name of the bucket.""'",,,,,,,,,,,,,,,
octopress,107,closed,5,2011-08-20 18:54:41,18.78,,1,,"b""b' Google being my friend"," I quickly found a solution for parsing the YAML file and updated accordingly.'""",,,,,,,,,,,,,,
octopress,107,closed,6,2011-08-20 18:54:41,269.33,,,1,"b'b"" Wow", thanks! Ideally I\'d have all configurations in _, but I never got around to figuring out yaml parsing. I had no idea it was so easy. Thanks for finding this. I may take a look at reworking everything so it\'s in the _ at some point. A question," do you know a way to get the beta version through a package manager? I use Homebrew on OS X and I\'ve never tried to get a beta package before. Any ideas?""'",,,,,,,,,,,,
octopress,107,closed,7,2011-08-20 18:54:41,20.77,,1,,"b'b"" Pushing configuration stuff into the file would make sense: all configuration settings would be located into one and only one file. Regarding installation"," macports ships a really old version (0.9.9). I\'m not really fond of Homebrew so I can\'t help. What I did was the good old way: [download the .tgz]url  and install it in or any other location that suits you.""'",,,,,,,,,,,,,,
octopress,107,closed,8,2011-08-20 18:54:41,288.48,,,1,"b""b' Cool! _subscribe_ (is there a  button?)'""",,,,,,,,,,,,,,,
octopress,107,closed,9,2011-08-20 18:54:41,53.28,,,1,"b'b"" @rb2k I\'m not aware of a way to subscribe to pull request comments. If anyone knows how to do this"," this would be great to voice yourself ;-)""'",,,,,,,,,,,,,,
octopress,107,closed,10,2011-08-20 18:54:41,4.6,,1,,"b'b"" I\'m pretty sure by commenting you\'ll get notified when I close it. I usually like to comment afterwards"," so I think you\'ll be notified.""'",,,,,,,,,,,,,,
octopress,107,closed,11,2011-08-20 18:54:41,7.83,1,,,"b""b' So the only way to be notified of a pull request comment is actually to write a meaningless comment? That sucks a bit.... BTW"," it sounds like that GitHub is having difficult time with the dates of the commits. My 2 last commits were not done 8 minutes or just now but a few hours ago... ;-)'""",,,,,,,,,,,,,,
octopress,107,closed,12,2011-08-20 18:54:41,7.52,,1,,"b'b"" I know that\'s **one** way to be notified. In the footer there\'s a way to turn on notifications. ![footer notifications]url ""'",,,,,,,,,,,,,,,
octopress,107,closed,13,2011-08-20 18:54:41,707.3,,,1,"b""b' Thanks. I guess I was so much searching for a Watch button that I missed the link on the bottom of the page ;-)'""",,,,,,,,,,,,,,,
octopress,107,closed,14,2011-08-20 18:54:41,469.2,,,1,"b'b"" +1 for this feature. I was lazy to migrate my blog to octopress since I figured I had to work out how to do this in S3 by following some blog posts I found. Having it baked in will be awesome. Can\'t wait for this to be landed =)""'",,,,,,,,,,,,,,,
octopress,107,closed,15,2011-08-20 18:54:41,3.9,,,1,"b'b"" Update: I will merge this in hopefully today. I\'m planning to hold off on the beta cloudfront support for now. I don\'t like the idea of supporting someone else\'s beta. I\'ll create a separate branch with couldfront support and merge that in when it comes out of beta. Sound good?""'",,,,,,,,,,,,,,,
octopress,107,closed,16,2011-08-20 18:54:41,22.67,,1,,"b'b"" Fair enough. I\'m actually wondering if we could come up with a pure Ruby implementation"," that is using a Ruby lib. There must be one available somewhere ;-) That would mean in the end no requirement for s3cmd.""'",,,,,,,,,,,,,,
