REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,9,2011-03-14 21:59:54,164.65,1,,,"b'b"" I have run through this a few times see above and I\'m not seeing an issue. That being said im not calling you crazy i just don\'t know what to tell you =\\\\""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,10,2011-03-14 21:59:54,1202.12,1,,,"b'b"" fair enough. it\'s not the worst problem to have. Maybe it\'ll resolve itself with continued upgrades down the line.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,11,2011-03-14 21:59:54,6.67,,1,,"b'b"" I don\'t see any code in the update_project command for this... I thought it was there. It should just be a matter of running:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,12,2011-03-14 21:59:54,1200.45,,1,,"b""b' @ixley"," try using this commit see if it fixes the problem url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,13,2011-03-14 21:59:54,1401.53,,1,,"b""b' closing this as fixed. Please comment if not.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,closed,2011-07-03 18:06:41,680.43,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,14,2011-03-14 21:59:54,1197.6,,1,,"b'b"" Sorry for the delay in getting back on this. I\'ve just tried it again having updated to the current latest version of Compass (0.11.5) and the problem is still there. My stylesheets are all hooked up and style changes are working fine.  is placed in the stylesheets directory. When I cycle output_style through the various formats none of them seem to make a difference. If however I force the issue with  compass compile force stylesheets and refresh the page", view the source," it works with the output compressed (or whatever output style I have selected). This doesn\'t seem to have changed at all from when I first posted the issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,reopened,2011-07-12 14:22:48,1216.12,4,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,15,2011-03-14 21:59:54,66.05,,,1,"b""b' Having the same issue here! I was playing with it all day yesterday... and out of the blue stopped working!Compass compiles the css file"," but just ignores the  file.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,16,2011-03-14 21:59:54,1178.35,1,,,"b""b' Hi", I was looking at this problem today. Downloaded latest of compass, it compiled the css," but was ignoring the settings in my  file. For me this seemed to be caused by running the compass commands from the wrong folder. I was running the compass  command standing in the folder above the one actually containing the  file.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,17,2011-03-14 21:59:54,87.97,1,,,"b'b"" Although I\'m not quite using the latest version still on Compass 0.11.5 (Antares). I\'ve just re-tried it every which way I can think of but still no change. I have compass watching in one window which is correctly compiling all the changes to my stylesheets but it\'s completely ignoring my  file. When just testing now even forcing compile (compass compile) doesn\'t work.  I have noticed that it usually takes some time for it to notice any changes in the  file but does seem to get there in the end. For instance I\'ve now just cycled through all output styles and once or twice this command was recognised and obeyed but not it\'s not paying any notice at all. I may fire things up again tomorrow and it suddenly sees that I\'ve set the output_style to :compressed and it suddenly kicks into action. I\'ve cleared the .sass-cache directory and I\'m even using PHP checking on the stylesheet link in the document head so that it appends the stylesheet with the unique timestamp using query strings so that every time it\'s updated it should be pulling the new version. Still no change. The randomness has me stumped. It is quite annoying though cause I never know what it\'s going to go with and if I\'m waiting to deploy then I need it compressed and waiting a random amount of time (?) for it to notice the settings in  is tedious.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,18,2011-03-14 21:59:54,593.63,,,1,"b'b\' The solution that I\\\'ve found is restarting the ""watch"" function. it all works fine", perhaps a limitation. =\\\\\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,19,2011-03-14 21:59:54,630.68,1,,,"b'b"" Does that consistently work for you? I can confirm that I\'ve tried stopping and starting the watch as well as watching both the directory containing the  file and the specific stylesheets directory and neither fixes things for me.  Like I said it seems to always get there in the end but it just seems inconsistent. I\'ve changed my output compression from nested to compressed", stopped the watch, started the watch, saw that my stylesheets were compiled," but alas the output .css files were still nested.  had been ignored. When I forced compile it then did take notice.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,20,2011-03-14 21:59:54,337.6,,,1,"b'b"" yes"," it works fine! kinda inconvenient and the process kinda sloppy... but it works! I don\'t think it would be much work to just watch that ruby file for changes. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,300,closed,21,2011-03-14 21:59:54,333.67,,,1,"b'b\' Some notes:1. You _have_ to restart the watcher if the config changes.2. Compass _should_ run a  ""clean"" if the config is newer than any existing css files.3. The force option exists for just this kind of reason. :) As seen here", #2 seems to be working for me: Are you sure there\\\'s a bug?\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
