REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,16,2012-01-01 21:13:27,181.9,,1,,"b'b"" I\'m closing this issue"," as it doesn\'t affect my codebase at this moment. But feel free to use it as a forum for authoring discussion ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,closed,2012-01-08 21:35:48,22.35,1,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,17,2012-01-01 21:13:27,1158.38,,,1,"b'b"" I\'ve made the first steps towards this. It is more or less a clumsy interface sketch no real functionality besides crappy html source export. I will mainly wait for one or another api goodie to emerge but feel free to get motivated or inspired :D  url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,18,2012-01-01 21:13:27,84.35,,,1,"b""b' **@laubsauger Impressive work!**Though"," you are right about the API bit. As @bartaz said earlier this is sort of an alpha release as of now and we should rather wait for an API to come through. _+1 for the great job anyway! :)_'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,19,2012-01-01 21:13:27,250.32,,1,,"b'b"" Hi. I just found this thread and it looks like I have a different idea about editing  presentations. IMHO the most important problem is setting x", y," rotate and scale in html and refreshing it all the time. It would be better to do it in a WYSIWYG manner.. I hacked a quick a proof of concept in a fork of mine. See url You can take a look over here: url  (but it\'s not staying there forever)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,20,2012-01-01 21:13:27,99.48,,,1,"b""b' Yup thats nice. With a little doodad to drag on for rotation"," moving etc. this will do it :) I got the GUI sketch ready for that and will implement it asap if i have time on my hands '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,21,2012-01-01 21:13:27,813.22,,1,,"b""b' Guys", I created new issue about  API for authoring #88. If you have any suggestions about what may be useful to have there," please join the discussion there.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,reopened,2012-03-14 22:02:47,26.98,1,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,22,2012-01-01 21:13:27,501.37,,,1,"b'b"" Let\'s keep it open to encourage discussion.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,23,2012-01-01 21:13:27,328.22,,1,,"b""b' You may like this:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,24,2012-01-01 21:13:27,342.08,,,1,"b'b"" Oh boy! That is freakin\' awesone. The interface looks really promising despite a few hicks here and there.The adobe guy did a bunch of nice work ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,25,2012-01-01 21:13:27,498.42,,1,,"b'b"" Ok", this encouraged me to finally fix up and push the first prototype of my idea of WYSIWYG interaction. You can take a look, it\'s there: url  I recommend trying it on the overview slide (start with pressing the left arrow) ;)It just works, drag the letters M[move] R[rotate] S[scale]It should still be uncomfortable to use," but that\'s life :)""'",,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,26,2012-01-01 21:13:27,508.57,,1,,"b'b"" I\'m too lazy to pull and check ;) @naugtur Can you host it somewhere? Creating a branch should be enough for a static demo.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,27,2012-01-01 21:13:27,1274.8,,1,,"b'b"" Ok", it deployed. Usage tip: Hover a slide, a control shows, M just drags, dragging R horizontally rotates, dragging S vertically scales. I dropped it here: url  The overview is linked on purpose moving elements works properly in overview and doesn\'t scale back on slides," but I already know how to fix that""'",,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,28,2012-01-01 21:13:27,1296.0,,,1,"b'b"" @naugtur That\'s an interesting UI concept. Not very intuitive at the beginning (clickinig on letters and dragging)"," but quite simple. But it will get a little bit compicated if you add positioning on Z and 3D rotations""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,29,2012-01-01 21:13:27,1342.65,,,1,b'b\' @bartaz Letters will be substituted with controls and correctlyhinted. I didn\\\'t want to spend time on drawing icons etc. My mainconcern about the controls (at the moment) is positioning them at thecenter of the element despite of all transformations, because it\\\'seasy to rotate the element in a way that puts them far enough for userto hover other slides while trying to reach the controls. I\\\'ve got 3 different ideas how to handle 3D," but complete WYSIWYGauthoring in 3D would require control over the ""camera"". As far as Iremember", you didn\\\'t feel like implementing that when we first talkedabout impress ;) On Fri, Mar 16, 2012 at 12:17 PM, Bartek Szopkareply@wrote:\'',,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,30,2012-01-01 21:13:27,626.62,,,1,"b'b"" just FYI.. This is from a japanese developer but is also an authoring tool for impress:url  source: url  Right now it\'s not very polished"," but the author is happy to iterate on it if anyone has ideas.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,31,2012-01-01 21:13:27,691.53,,1,,"b""b' Hi. Yesterday"," I uploaded a version of English. url  Will be further upgraded.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,32,2012-01-01 21:13:27,819.33,,,1,"b""b' @bartaz  Thanks for posting the link to impressionist.  Guys"," Impressionist is now on github and I am also looking for some help testing this out. Please do take a look and log issues. url  ThanksHarish'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,33,2012-01-01 21:13:27,1048.0,,,1,"b""b' Very cool will check it out over the weekend... On Fri", Mar 23, 2012 at 5:20 AM," Harish Sivaramakrishnan <reply@'""",,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,34,2012-01-01 21:13:27,1164.15,,1,,"b""b' Not really a full on'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,35,2012-01-01 21:13:27,1166.82,,,1,"b'b"" Crud... Not really a full on editor", but I had some initial thoughts about a WordPress plugin with a GUI for positioning and sorting slides. Able to pull in content from posts, pages," or custom slides. Etc. I\'ll post to github when I have anything. All of the above ideas are way more impressive tho :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,36,2012-01-01 21:13:27,1068.3,,,1,"b""b' Wow"," Impressionist is really good! I was going to suggest adapting [this editor]url  which is based on SVG-Edit and currently uses Sozi as backend ( and  are on the plan). But Impressionist is already far ahead.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,37,2012-01-01 21:13:27,67.07,,1,,"b""b' Another possibility mentioned by @lunemec in #148'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,38,2012-01-01 21:13:27,712.1,,,1,"b""b' Hey"," I recently started working on Strut (an ImpressJS GUI)url live demo: url  Its currently in alpha so there are some kinks.  Contributions are welcome. [![screen shot 2013-05-25 at 1 42 31 pm]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,39,2012-01-01 21:13:27,1029.38,,,1,"b""b' @tantaman nice! and surprisingly similar to url  by @hsivaramx ;) Maybe you guys should join your attempts?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,40,2012-01-01 21:13:27,1057.42,,1,,"b""b' I working on Mimpress recently","an  editor for iPad. url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,41,2012-01-01 21:13:27,1063.53,,1,,"b'b"" @volca looks nice"," too bad it\'s paid ;)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,42,2012-01-01 21:13:27,1070.33,,1,,"b'b\' @bartaz You can try it with promo code ""JPPYE7HX7F49"" :)\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,43,2012-01-01 21:13:27,1400.97,,1,,"b""b' @bartaz yeah"," I actually found impressionist a few days ago as well.  I asked them about working together last night (no response yet) but their code looks pretty difficult to maintain and extend.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,44,2012-01-01 21:13:27,1411.87,,,1,"b'b"" @tantaman I\'m quite surprised you haven\'t seen it before as both strut and impressionist have very similar UI :) ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,45,2012-01-01 21:13:27,32.57,,1,,"b'b"" @bartaz Went ahead an added a note about Impressionist to Strut\'s readme.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,46,2012-01-01 21:13:27,483.3,,1,,"b""b' I had time to get back to builder4impress at last. Working prototype: url  [works best in chrome] @bartaz I have added some functions to the API. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,47,2012-01-01 21:13:27,1040.88,,,1,"b'b"" Hello",I would like to use one of your tools to create and export presentations. But, unfortunately, I\'m having trouble saving and exporting presentations on any of the tools listed above. I\'m able to create and preview in strut but unable to export the files to use on my website. Also," I don\'t see any option to change the vanvas size in any of the tools. I liked the strut tool but its bad that I cant use what I create out of it. Impressionist is unable to even display preview on chrome (Windows). Builder4impress was very good to export the animations but I am unable to change the canvas size.Please provide a tool that is usable by non-programmers.Thanks""'",,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,48,2012-01-01 21:13:27,1052.32,,,1,"b'b"" Hi", I\'ve tried it with mine tool ..  .. click on show presentation when you finish it and then save the page in FF or chrome or wherever save page as ... some name and save it as complete web page to some folder it will create  and folder myname .. and you need both copied somewhere (flash, cd ..) and then you can run the presentation off-line by opening  in FF or chrome," IE will not work I think Enjoy""'",,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,49,2012-01-01 21:13:27,1086.77,,,1,"b'b"" Thank you lunemec but it\'s more complicated to use compared to writing the tags based on  documentation. I was looking for a tool to make very large number of presentations using  quickly instead of creating div\'s one by one manually.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,50,2012-01-01 21:13:27,42.38,,1,,"b'b\' After you preview your presentation in [Strut]url  use your browser\\\'s ""save page as"" feature to save the presentation as a stand alone website. url  Hope that helps!  Let me know if you have any trouble or need anything else. **Edit:** there is also now a ""zip presentation"" option which will export the presentation to its HTML", CSS and JS source and give you a zip to download.  Currently," zip presentation only works if you are accessing a hosted version of Strut or have ""allow-file-access-from-files"" enabled in Chrome.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,51,2012-01-01 21:13:27,555.63,,,1,"b'b"" The S9  template is perfect.  You get to use markdown", so any $EDITOR will do.  I tried using wkhtmltopdf to export to PDF but the result is lame (e.g., directives for canvas positioning are displayed). On iOS there\'s Mimpress, which looks like basically S9 with the  template, a webkit browser, a simple text editor, and a simple tool for selecting translations, rotations, ... per-slide.  The nice thing about Mimpress is that, well, tablets.  The idea is nice enough that equivalents for Android should be possible (if not already there) and that would be nice because, well, tablets.  Being able to author on a tablet is key.  Strut and Impressionist didn\'t work very well for me on my ipad, so for now for me it\'s S9 + , and on the ipad: Mimpress (on the theory that the two approaches are mostly compatible). @volca: some issues with Mimpress: there\'s no way to manage svg files, and image file mgmt is a bit wonky, as is the CSS style mgmt (I can\'t share it easily, which I need to do if I\'m going to use S9 on my desktop and mimpress on my ipad).  There\'s no nice share with e-mail or whatever, just copy to clipboard (which, ok, is not terrible, but still).  Also, Mimpress isn\'t rendering lists properly...  It crashes when displaying the whole canvas if the presentation uses your svg file. Also, there\'s no export function in Mimpress.  An export to HTML option would be nice, and obviously shouldn\'t be too hard (given that you are probably already using S9), but as long as I can send the markdown to my desktop I can pass it to slideshow there (I\'ve not tried it though, and I worry that there might be incompatibilities).  An export to PDF would be lovely, but since you\'d likely need an HTML->PDF renderer," and I bet there\'s none good enough for this (but I\'ve not searched far and wide enough). Thanks to @bartaz for this incredible tool ()!  I love it!""'",
impressjs,5,open,52,2012-01-01 21:13:27,64.15,,,1,"b'b"" Hi! Great tool! Thank you. I\'ve a lot of Powerpoint slides and so i\'ve created a small powershell script to migrate them to . It\'s a starting point", it will not be a full featured converter. But it saves your text :-) url  Regards," Arthur""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,53,2012-01-01 21:13:27,315.18,,,1,"b""b' @arthurzaczek dude that is pretty cool...  Do you mind if I add that as a way to import Powerpoint presentations to [Strut]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,54,2012-01-01 21:13:27,57.1,1,,,b'b\' Hi! Thanks for feedback. It\\\'s GPL licensed. I don\\\'t know if it\\\'s GNU Affero General Public License compatible," but feel free to use it I don\\\'t believe that there is so much ""innovation"" to worry about a license ;-)\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,55,2012-01-01 21:13:27,49.88,,1,,"b""b' a dokuwiki plugin: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,56,2012-01-01 21:13:27,875.47,,,1,"b'b"" Hi there", firstly," thank you Bartaz for this impressive framework! I started creating my own visual editor for  and ended up customizing and extending the builder4impress by @naugtur who has done a really great work. I liked how this tool handles the slides so I decided to add more features in it. It\'s still in under heavy development (this means quite a few bugs and messy code) and regarding the fact that I am not an expert in Javascript maybe some of you are interested in that and you would like to contribute.  The main goal of this tool is to be a tool for the ASQ project. (more details on About page) Take a look at the [editor]url  and please be indulgent. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,57,2012-01-01 21:13:27,126.97,,1,,"b'b"" @giokokos"," feel free to submit a pull request or contact me directly if you want to cooperate in any way. I slowed down my work on the editor mostly because there was no demand anymore and Strut got so popular. I still want to work on a fully-wysiwyg editor and I have some plans regarding going 3D. It\'s just not a high-priority project for me.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,58,2012-01-01 21:13:27,46.32,,1,,"b'b"" Last year I saw  library and I was amazed. A few months later I decided to make an authoring tool and now I am ready to show it", because I have to know what is the opinion of the users and should I continue to develop it. It\'s completely free and is available on . The module for creating presentations is JavaScript based, but the project contains server side which stores the users presentations and they can access them from every computer. There are two presentations made with JSpres. The first one is just promo of the project, and the second is the presentation which imagined the project on the National IT olimpics in my country (this is the reason that is not in english, but you have to see the transitions :P) url url  So if anyone want to see and try it but have some troubles I wrote a simple guide that will help you to understand the basics and can be found here: url  So I will put some screens to provoke a little curiosity in you to see the project. I would be grateful to hear your feedback, advice," criticism and I hope to help someone with what I\'ve done.![cover-presentation-mode]url ![cover-overview-mode]url ![help-pics-03]url ""'",,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,59,2012-01-01 21:13:27,226.0,,,1,"b'b"" Hi",after a colleague told me about  I catched fire for this tool so thank you in the first place.I was and am still looking for an authoring tool or a helper to put the data in. I read of many interesting aproaches and I do understand, that it is not very easy do design such a gui. to @valkirilov and the others who consindering to test the software JSpres:First impression looks good.**BUT** reconsinder," that HTML and CSS is there for a reason to seperate style from content. And that is one of the basic principles of !I know it seams easier to put it all together and hey the computer parses it anyway. **BUT** that\'s why the other presentation tool did mess up in the first place. Me for myself and I think many of the -users do not look for just another powerpoint like tool with astonishing 3D anmiation and better concepts that would be keynote in my opinion.We are looking for a presentation-tool that is able to deliver content in a new way and with the right basic asumptions so keept the content clearly seperated from code and do not repeat every style for every lable if you still wondering what I am talking about a short glimpse in the JSON export from JSpres:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,60,2012-01-01 21:13:27,597.28,,,1,"b""b' I would like to refer my recent comment from url  to this thread for discussion. Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,61,2012-01-01 21:13:27,1272.98,,1,,b'b\' Hi, I found it hard to prepare slides and then edit them one by one to position them on the canvas. Typical scenario: I changed the size of a title tag in the first slide, which made it necessary to move up or down all following slides," or slides related. This process is somewhat simplified using existing  ""editors""", but I found they mess up the html with un-needed tags. Therefore, I created a simple php script that modifies the  attributes with a simple command. I was wondering if this can be shared, and if so where would be a nice place to put it. Ideally, it could be translated into a browser extension, but I don\\\'t know js enough. I would be happy to contribute if anyone started up a project. In the meanwhile I am happy to share my script, if there is any interest. Any suggestion on  appreciated Here are typical usages, to give you an idea of what the script accomplishes. Examplesphp  f list available slides and their id, if presentphp  f  steps 3-5 x -20 y =200  decrease data-x by 20 and set data-y to 200 on slides 3,4,5 of  and overwrite the filephp  f  output  steps 2,3,8-9 x d20 fm  increase the data-x gap between slides 2 and 3, 3 and 8, and  8 and 9 by 20. Slides 2 remains unchanged. Data-x will be set wherever missingphp  f  steps 5-2,overview,8  process slides in the following order: 5,4,3,2,[id=overview],5,4\'',,,,
impressjs,5,open,62,2012-01-01 21:13:27,1436.05,,,1,"b'b"" Hi",out there are plenty of editors :)but, I had a small project concept, and I tried to create a small code snippet for a basic editing feature. When someone is interested in it: url  it\'s working on desktop as well on touch device.  (only one issue," that can\'t solve is use it or only  in iframe on touch device like ipad with ios7. Browser crash every time) ""'",,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,63,2012-01-01 21:13:27,85.77,,1,,"b""b' Yet another editor supporting "," but designed for _scientific_ contents: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,64,2012-01-01 21:13:27,525.28,,1,,"b""b' Is it possible to embed a presentation inside a static html page?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,65,2012-01-01 21:13:27,549.45,,,1,"b'b"" url  is using  with a fully custom WYSIWYG authoring tool. I\'ve attributed the library to Bartaz on the About page. We really like ! MattNewbill: Yes it is. You\'ll need a modern web browser with Javascript to run it nicely.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,66,2012-01-01 21:13:27,564.62,,1,,"b""b' I am having problems with the overflow eating up the rest of the page. Is there an example somewhere or do you have any advice on how to embed it?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
