REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,19,2012-03-21 03:13:58,540.05,,,1,"b'b"" Clearly there\'s enough interest for this one. Adding for 3.1.0.""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,20,2012-03-21 03:13:58,1115.75,,1,,"b""b' Now on 3.1.0-wip branch in docs.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,closed,2013-04-02 18:19:52,45.17,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,21,2012-03-21 03:13:58,515.82,,1,,"b""b' It looks like w/ FA 5 the star half empty is gone again"," why? '""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,-,-,-,0,13,10,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,opened,2012-04-16 00:27:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,title,2012-04-16 00:27:11,00:00,,1,,"b""b' Icon request: icon-record'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,body,2012-04-16 00:27:11,00:00,,,1,"b""b' It would be great to have just a plain circle. Bonus points for solid and outline versions.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,1,2012-04-16 00:27:11,1366.58,,1,,"b""b' you can make a circle in many variants easily with CSS"," something like: Please add vendor prefixes for border-radius.'""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,2,2012-04-16 00:27:11,269.03,,,1,"b'b"" Right", but it fails in IE. A font icon circle wouldn\'t. Thanks for the reply, though. Parker On Jun 7,2012, at 4:13 pm," Matthias Kretschmann wrote:""'",,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,3,2012-04-16 00:27:11,707.38,,1,,"b""b' +1 for  '""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,4,2012-04-16 00:27:11,359.45,,1,,"b'b"" There is a unicode glyph for this \\\\u26ab but it doesn\'t have very widespread font support""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,5,2012-04-16 00:27:11,766.65,,1,,"b""b' You can make a square with CSS. Why do we need  ?'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,6,2012-04-16 00:27:11,33.53,,1,,"b""b' Border-radius (rounded corners) fails in IE8 and below. SVG", too.@font-face works (with EOT fonts).  But, yes, a square it can do. On Oct 11,2012, at 3:16 am," Matt Brennan wrote:'""",,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,7,2012-04-16 00:27:11,16.67,,1,,"b'b"" It\'s also a lot less painful to achieve a consistent vertical alignment in a group of icons if they are all rendered using the same icon font""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,8,2012-04-16 00:27:11,82.1,,,1,"b""b' There is in 3.0"," which looks _great_ in red.'""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,9,2012-04-16 00:27:11,707.92,,1,,"b""b' Yep. Closing due to icon-circle.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,closed,2013-03-29 00:16:31,1429.33,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,10,2012-04-16 00:27:11,674.0,,1,,"b""b' How about an alias?'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,11,2012-04-16 00:27:11,143.8,,1,,"b""b' @abyx can you please start a new issue?'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,reopened,2013-12-09 13:54:18,817.78,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,12,2012-04-16 00:27:11,366.97,,1,,"b""b' @tagliala opened #2555 '""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,13,2012-04-16 00:27:11,1217.02,,1,,"b""b' Either #156 or #2555 should be closed as a duplicate"," or one should be changed to  .'""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,14,2012-04-16 00:27:11,227.53,,1,,"b""b' I think that url  url  and url  do the job  Please let me know if record should be different  '""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,closed,2017-10-20 20:05:49,371.52,0,13,3,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,156,closed,-,-,-,0,13,3,,,,,,,,,,,,,,,,,,,,,,,,
