REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,136,closed,6,2013-03-29 08:26:17,20.38,,1,,b'b\' Additional info. Since I\\\'m using Japanese Windows," tried:(""LC_ALL""","Japanese_"")(""LC_ALL","Japanese_"")Both still not working with ""03_reactivity"" text input field.\''
shiny	136	closed	7	yihui	2013-03-29 08:26:17	94.35			+1	b""b' You are not expected to use () at all. You should be able to go just with your natural locale if you install the development version here. The version 0.10.0 on CRAN does not contain UTF8 support for Windows. For instructions on how to install the development version here on Github, please see url '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,136,closed,8,2013-03-29 08:26:17,89.75,,1,,b'b\' Good news and bad news. Re-install from github. Have little trouble, cause I\\\'m currently behind proxy.Those who\\\'s have the same trouble,  this link will help.url  Now, the test result," good news first.1. 03_reactivity -2. 01_hello with Japanese char  The bad things is (""LC_LANG""","C"") is not working anymore.....  Tried different locale, and others Japanese encoding (SJIS) combination.  Nothing work. This is a though situation,  able to input UTF-8, but not used it in the script.Or able to use UTF-8 in the script (setlocal C), but no input. Thanks,\''
shiny	136	closed	9	desar	2013-03-29 08:26:17	227.98			+1	b'b\' Since I was using R 3.0.X, wondering if it affecting something. Upgrade to R 3.1.0, still no luck.When I run 01_hello with UTF-8 char in it (titlePanel(""), no BOM.I got the following error: Listening on url Error in nchar(object, type = ""chars"") : 1\\xe3\\x80\\x80\\xe2\\x80\\x9dtranslate\''
shiny	136	closed	10	yihui	2013-03-29 08:26:17	391.22			+1	b'b"" As I said, _is not supposed_ to work, so I\'m not surprised that it does not work. Please just use your natural locale.  are supposed to be UTF-8 encoded, so please do not try other encodings (again, other encodings are supposed not to work). If you are sure (1) your ui.R and server.R are encoded in UTF-8, and (2) you did not call () before running the app, please email the app to me ( ) and I\'ll test it. Thanks!""'
shiny	136	closed	11	desar	2013-03-29 08:26:17	182.12			+1	b'b\' FYI for the test above, I didn\\\'t use () at all.The app I use is examples included in shiny ""01_hello"". All I did is just to change ui.R on function titlePanel(""), the parameter from ascii to UTF-8 character.I can send you those file tomorrow if you want, but I\\\'m sure you can create it yourself.I think you just missed encoding code patch for those titlePanel("") functions.  Thanks.\''
shiny	136	closed	reopened	 - 	2014-06-26 20:39:19	741.78	0	5	8
shiny	136	closed	12	yihui	2013-03-29 08:26:17	183.78		+1		b""b' Sorry, you are right that there is still an issue that I omitted: the example was in the showcase mode. I think I have fixed it now: I have tested it and did not see a problem. Please see if it works for you. Thanks!'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,136,closed,13,2013-03-29 08:26:17,652.75,,,1,"b""b' Hi Yihui", Well, the above 2 test was fixed.Doing more test and find some others issues. Can not put UTF8 comment in server.R(ui.R is okay), I think it affecting code with UTF8 in server.R, can not download cvs withJapanese char data," etc.Will send you  test list and the result (excel file) directly to your mail. Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,136,closed,closed,2014-07-06 19:13:06,1353.78,0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,136,closed,-,-,-,0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,opened,2013-07-11 21:12:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,title,2013-07-11 21:12:12,00:00,,1,,"b""b' Broken reactivity tests'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,body,2013-07-11 21:12:12,00:00,,1,,"b'b"" Commit 28a52bb6582f33a72b4e769d2a1c535bbe4cccf3 broke many reactivity tests. Here\'s a simple example. Before the commit: After the commit:  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,1,2013-07-11 21:12:12,138.42,1,,,"b""b' Geez"," that was awful. Sorry!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiny,200,closed,closed,2013-07-11 23:30:37,138.42,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
