REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,7,2014-11-06 06:17:29,1396.4,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed"," and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,reopened,2015-06-05 18:11:44,1396.38,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,8,2014-11-06 06:17:29,11.0,,1,,"b'b"" Hello human.  I haven\'t tried rebuilding in many months I was left with the impression that folly would never run on OSx", and so I was unsurprised that the ticket was closed. Perhaps interest will increase with the next release of OSx whose clang compiler may support thread_local," although I suspect more incompatibilities will just surface and we\'ll be in the same spot.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,9,2014-11-06 06:17:29,1358.75,,,1,"b""b' The newest homebrew formula should work fine now.url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,closed,2015-06-23 17:01:29,1369.75,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,96,closed,-,-,-,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,opened,2014-11-11 17:28:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,title,2014-11-11 17:28:12,00:00,,1,,"b""b' Complete build options for Pthread API'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,body,2014-11-11 17:28:12,00:00,,1,,"b'b\' Would you like to add the configuration script ""[AX_PTHREAD]url "" to [your build specification]url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,100,closed,1,2014-11-11 17:28:12,1376.4,,1,,"b""b' Really problem is that on Fedora '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
