REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,624,closed,5,2011-03-27 08:42:30,5.47,,1,,"b'b"" Great. I\'m new to git too", so I\'ll figure out how update this request by pushing it to my branch. We use crap at work for source control," which I\'m embarrassed to mention.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,624,closed,closed,2011-03-27 20:03:40,678.12,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,624,closed,-,-,-,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,opened,2011-05-30 13:35:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,title,2011-05-30 13:35:17,00:00,,1,,"b""b' Optimized images'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,body,2011-05-30 13:35:17,00:00,,1,,"b'b"" I Optimized the images of Diaspora by using jpegoptim and optimpng","this safes a few bytes and is usefull to please google pagespeed or yahoo\'s yslow""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,1,2011-05-30 13:35:17,1.82,,,1,"b""b' i forgot to say","  the quality of the images is not affected by this !'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,closed,2011-05-30 13:37:06,1.82,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,reopened,2011-05-30 13:37:17,0.18,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,2,2011-05-30 13:35:17,117.82,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,3,2011-05-30 13:35:17,803.8,,1,,"b""b' 15 minutes workflow for a 2 minute hack ?maybe i have time this evening'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,4,2011-05-30 13:35:17,42.1,,,1,"b'b"" @rtznprmpftl", thank you, it\'ll be nice to have smaller images!  The short version of the workflow is: make a branch, checkout the branch, modify the images, check them in to the branch, push the branch up to github," do a pull request on the branch. Done :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,closed,2011-05-31 15:41:31,124.23,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,647,closed,-,-,-,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,651,closed,opened,2011-06-01 14:37:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,651,closed,title,2011-06-01 14:37:36,00:00,,1,,"b""b' Fixing #348 Change E-mail with confirmation'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,651,closed,body,2011-06-01 14:37:36,00:00,,,1,"b'b"" I implemented a basic version with confirmation over e-mail and some specs.  Since this is my first non-trivial commit to diaspora it would be nice to have some opinions on the code. Are there any (coding)  I ignored?In  I skipped to call log_mail", because there is no obvious . Is this required?I would like to move the new code in  to a encapsulating UserModule (Diaspora::UserModules::ConfirmEmail). D\'accord?After your go," I would also like to add german translations for the new strings in  Thanks in advance for any .""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,651,closed,1,2011-06-01 14:37:36,57.45,,,1,"b'b"" Cool", I\'ll look at this today.  One thing to keep an eye on, though, is that I\'m pretty sure there\'s an outstanding pull request against Devise," our authentication framework: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
