REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,14,2010-10-04 17:24:31,1256.42,,1,,"b""b' @wimh", That looks right, I figure adding another slash would fix hg but probably break git," I guess that this part needs to be abstracted so the  versions can be different.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,15,2010-10-04 17:24:31,1353.47,,,1,b'b\' Since sparkleshare won\\\'t allow the 2nd / for Hg to access repos that aren\\\'t in the home directory I just create a symlink to my repo in the git users home directory and was then able to add it succesfully, however, when I clicked to get the log it crashed. I figured I would post the log here but maybe the log just isnt supported yet," Thanks! [18:35:04][Controller] Formed URL: ssh://git@[18:35:04][Fetcher][/] Fetching folder...[18:35:04][Cmd] / clone ""ssh://git@"" ""/""[18:35:05][Hg] Exit code 0[18:35:05][Config] Added configuration to \\\'/\\\'[18:35:05][Fetcher][/] Fetching finished[18:35:05][Cmd] / log limit 1 template ""{node}""[18:35:05][Cmd] / log -r : limit 1 template ""{node}""[18:35:05][ListenerFactory] Refered to existing listener for 204.62.14.135[18:35:05][Cmd] / status[18:35:14][Cmd] / log limit 30 style / Unhandled Exception: : Object reference not set to an instance of an object  at  () [0x00000] in :0 at  () [0x00000] in :0 \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,16,2010-10-04 17:24:31,1361.47,1,,,"b'b"" @lgordon yes"," i haven\'t implemented the log yet. It seems to be very hard to get a commit log with changed files from Hg....""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,17,2010-10-04 17:24:31,1362.92,,,1,"b""b' well I can report that adding files to hg repos hosted on my server works!! also the hgweb cgi script is super easy to install (much simpler than git-web) and i can browse the contents of my sparkleshare hg repo through my mini-httpd server'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,18,2010-10-04 17:24:31,1367.7,,,1,"b'b"" @lgordon good to hear! the log bit is the only bit i have left to do. if you can find out how i can get a list of commits with: hash", iso timestamp, username, user email, files added, files deleted and files modified, that would be great! (the file names need to be wrapped by quotes if there\'s a space in the filename," or just all quoted.) ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,19,2010-10-04 17:24:31,1371.1,,1,,"b""b' @hbons how about? hg log verbose: changeset: 0:27d23b0716datag:   tipuser:    Lyle Gordon lgordon@date:    Sun May 22 18:38:39 2011 -0500files:   description:SparkleShare Hg'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,20,2010-10-04 17:24:31,1375.82,,,1,"b'b"" @lgordon too easy. :) doesn\'t list what happened to the files.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,21,2010-10-04 17:24:31,1400.47,,1,,"b""b' @hbons hg log style changelog verbose stat seems to have all the needed information as far as I can tell edit: you can also make a new template that style refers to", these control the output of the log command. The existing ones are default, compact and changelog (supposed to follow the GNU changelog guidelines). They seem to be stored in different places," on my ubuntu machine they are in // but on my solaris box where I installed Hg from source via python they are in the python directory somewhere lost of info here: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,22,2010-10-04 17:24:31,141.0,,1,,"b""b' just got a notification to myself from a hg repo but I had  sparkleshare a few times'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,23,2010-10-04 17:24:31,160.47,,1,,"b""b' I deleted and planned to recreate my hg repo but now sparkleshare keeps trying to add it as a git repo and this obviously fails. Is there a way to tell it exactly what protocol to use?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,24,2010-10-04 17:24:31,160.82,,,1,"b""b' Before I broke it the log worked! (no username showed up though)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,25,2010-10-04 17:24:31,943.77,,1,,"b'b\' @lgordon just append "".hg"" to the folder name. This will be automatic in the future", though I\\\'m not sure how yet.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
