REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,
Sick-Beard,742,closed,5,2013-09-27 18:59:37,5.0,,,1,b'b\' Lessen the need for users to install.. Plus SB core depends so much on it. Wile the code looks fine," dbr will make sure and tweak if needed. You may want to add a test for your code (firefly) -Original Message-From: ""Scott Blevins"" notifications@Sent: \\xe2\\x80\\x8e9/\\xe2\\x80\\x8e28/\\xe2\\x80\\x8e2013 11:04 AMTo: ""-Beard"" Sick-Beard@Cc: ""thezoggy"" thezoggy@Subject: Re: [Sick-Beard] Adding option to order by DVD ordering (#742) @thezoggy I will change it to I didn\\\'t realize that  was a separate project. I will submit a PR to them. Is there a reason that library isn\\\'t just a pip requirement?  Reply to this email directly or view it on GitHub:url \''",,,,,,,,,,,
Sick-Beard,742,closed,6,2013-09-27 18:59:37,64.15,,,1,"b'b"" @thezoggy that makes sense. Thank you. I tried running the existing test suite and I got two failures and an error. I tried again in master but it seems the tests are broken at the moment. If I had my way", I would use HTTPretty url  to test this change with an integration test. That would add quite a bit of coverage for existing Sick-Beard code because it would use all the existing code and only override the call to thetvdb at the socket level. It would still be quick and deterministic since we would be defining the return value for the call and it wouldn\'t actually use the network. I\'ve done similar tests at my job and I am currently working on a test suite for the Paython library that uses this method. The only reason I didn\'t go crazy and write that test was because I wasn\'t sure if my PR would be rejected for doing so and I didn\'t want to do all that work for nothing. If you gave me the go-ahead," I would work on an integration test suite for the tvdb calls in Sick-Beard using HTTPretty. I\'d also be happy to take a crack at fixing the existing tests so that we could set up some CI for this awesome project. Let me know what you think. Thanks!""'",,,,,,,,,,
Sick-Beard,742,closed,7,2013-09-27 18:59:37,40.27,,,1,"b""b' @thezoggy Thanks for the tip. I added a test for tvdb_api in my PR to them. I used Firefly and Batman The Animated Series and it is passing with flying colors. Hopefully they will merge it soon.'""",,,,,,,,,,,,
Sick-Beard,742,closed,8,2013-09-27 18:59:37,12.32,,1,,"b""b' The tvdb_api merged my PR today. How should I handle this PR? Should I check out the new master for that project and blast it into the lib directory since my PR requires the updated library code?'""",,,,,,,,,,,,
Sick-Beard,742,closed,9,2013-09-27 18:59:37,23.25,1,,,b'b\' Yes," make a new pr off the updated lib -Original Message-From: ""Scott Blevins"" notifications@Sent: \\xe2\\x80\\x8e10/\\xe2\\x80\\x8e1/\\xe2\\x80\\x8e2013 1:45 PMTo: ""-Beard"" Sick-Beard@Cc: ""thezoggy"" thezoggy@Subject: Re: [Sick-Beard] Adding option to order by DVD ordering (#742) The tvdb_api merged my PR today. How should I handle this PR? Should I check out the new master for that project and blast it into the lib directory? Reply to this email directly or view it on GitHub:url \''",,,,,,,,,,,
Sick-Beard,742,closed,10,2013-09-27 18:59:37,732.12,,1,,"b'b"" @thezoggy I\'ve sent a library update PR in #743. Let me know if you need anything else.""'",,,,,,,,,,,,
Sick-Beard,742,closed,11,2013-09-27 18:59:37,910.47,,,1,"b""b' @thezoggy is there anything wrong with this PR? I did the things you suggested. I am not sure what else I need to do to get this merged. Any suggestions would be appreciated.'""",,,,,,,,,,,,
Sick-Beard,742,closed,12,2013-09-27 18:59:37,76.35,,1,,"b""b' as this code requires another pr to be pulled"," this is on hold until that pr is reviewed. just need to be patient'""",,,,,,,,,,,
Sick-Beard,742,closed,13,2013-09-27 18:59:37,1042.22,,1,,"b""b' With the API updated"," can this now be merged?'""",,,,,,,,,,,
Sick-Beard,742,closed,14,2013-09-27 18:59:37,427.55,,1,,"b""b' can you rebase this off development first"," looks like you still have tvdb_api changes in it'""",,,,,,,,,,,
Sick-Beard,742,closed,15,2013-09-27 18:59:37,1241.28,,1,,"b""b' @thezoggy I rebased this off of development in case you wanted to merge it for @lawrencecurtis.'""",,,,,,,,,,,,
Sick-Beard,742,closed,16,2013-09-27 18:59:37,1.22,,1,,"b""b' The tvdb_api merged my PR quite some time ago so the changes inside of  reflect the changes that I added into their library.'""",,,,,,,,,,,,
Sick-Beard,742,closed,17,2013-09-27 18:59:37,161.27,,1,,"b""b' @smeggingsmegger I see some left over merge conflicts..  '""",,,,,,,,,,,,
Sick-Beard,742,closed,18,2013-09-27 18:59:37,173.33,1,,,"b'b"" @thezoggy Sorry about that. I was distracted and in a hurry while I was doing that. :-/ It\'s fixed now.""'",,,,,,,,,,,,
Sick-Beard,742,closed,19,2013-09-27 18:59:37,1012.15,1,,,"b""b' Can this now be merged in? I have about 5 TV shows all suffering from messed up ordering which this would fix '""",,,,,,,,,,,,
Sick-Beard,742,closed,20,2013-09-27 18:59:37,11.28,,,1,"b'b"" :+1: I\'d love to see this merged in. I updated an external library and the changes to it were brought into Sick-Beard 5 months ago so we should be clear to merge now. I checked over my code and I don\'t see any outstanding issues. @thezoggy What do you think?""'",,,,,,,,,,,,
Sick-Beard,742,closed,21,2013-09-27 18:59:37,12.58,1,,,"b'b"" I think it will need a few tweaks in the  as I\'m getting an error... AddDvdOrderOption(UpgradeHistoryForGenericProviders) i changed that too AddDvdOrderOption(AddLastUpdateTVDB): and updated the db versions etc quickly to get it to run. So i think you might need to do another rebase from development and tweak that and then all they need is to hit merge""'",,,,,,,,,,,,
Sick-Beard,742,closed,22,2013-09-27 18:59:37,50.02,,1,,"b'b"" @lawrencecurtis You might want to check out my branch and make sure it is still working. I rebased and fixed some conflicts but it looks like  has been completely rewritten and I didn\'t have time to see if my branch still works with it.""'",,,,,,,,,,,,
Sick-Beard,742,closed,23,2013-09-27 18:59:37,164.25,,1,,"b""b' should squash and rebase. force push to rewrite history to make it clean'""",,,,,,,,,,,,
Sick-Beard,742,closed,24,2013-09-27 18:59:37,30.65,,1,,"b'b"" I\'ve rebased and squashed.""'",,,,,,,,,,,,
Sick-Beard,742,closed,25,2013-09-27 18:59:37,879.87,,1,,"b""b' @thezoggy what do you think?'""",,,,,,,,,,,,
Sick-Beard,742,closed,26,2013-09-27 18:59:37,1350.0,,1,,"b""b' @thezoggy pinging this again.'""",,,,,,,,,,,,
Sick-Beard,742,closed,27,2013-09-27 18:59:37,758.75,,1,,"b""b' Rebased off of  again so that it is ready to merge whenever you want.'""",,,,,,,,,,,,
Sick-Beard,742,closed,28,2013-09-27 18:59:37,148.87,,1,,"b""b' ty'""",,,,,,,,,,,,
Sick-Beard,742,closed,29,2013-09-27 18:59:37,918.1,,,1,"b'b"" Closing this PR as I\'m using Sick Rage these days. Best of luck to your project.""'",,,,,,,,,,,,
Sick-Beard,742,closed,closed,2015-11-05 19:31:12,25.8,5,19,7,,,,,,,,,,,,,
Sick-Beard,742,closed,-,-,-,5,19,7,,,,,,,,,,,,,
