REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,
Sick-Beard,143,closed,opened,2011-05-04 05:53:29,,,,,,,,,,,,,,,,,
Sick-Beard,143,closed,title,2011-05-04 05:53:29,00:00,,1,,"b""b' Wrong line ending on first line of '""",,,,,,,,,,,,
Sick-Beard,143,closed,body,2011-05-04 05:53:29,00:00,,1,,"b""b' cube: No such file or directory The new line ending fixed this problem.'""",,,,,,,,,,,,
Sick-Beard,143,closed,1,2011-05-04 05:53:29,664.35,,1,,b'b\' Thanks," but mixed line endings is gross and I am sticking with Windows line endings for the time being for various reasons. Just run it with ""python "".\''",,,,,,,,,,,
Sick-Beard,143,closed,closed,2011-05-04 16:57:50,664.35,0,3,0,,,,,,,,,,,,,
Sick-Beard,143,closed,2,2011-05-04 05:53:29,275.52,,1,,"b""b' In respect to your wish to not mix line endings you should review the current version of . Only the first line has Windows line ending"," the rest has Unix line endings.'""",,,,,,,,,,,
Sick-Beard,143,closed,reopened,2011-05-04 21:33:27,275.62,0,4,0,,,,,,,,,,,,,
Sick-Beard,143,closed,closed,2011-05-05 02:15:01,281.57,0,4,0,,,,,,,,,,,,,
Sick-Beard,143,closed,-,-,-,0,4,0,,,,,,,,,,,,,
Sick-Beard,144,closed,opened,2011-05-05 06:12:41,,,,,,,,,,,,,,,,,
Sick-Beard,144,closed,title,2011-05-05 06:12:41,00:00,,1,,"b""b' Subtitles support'""",,,,,,,,,,,,
Sick-Beard,144,closed,body,2011-05-05 06:12:41,00:00,,,1,b'b\' Here is my first contribution to add subtitles support to Sick-Beard using [my own fork of periscope]url Configuration page with CSS," icons and jsSubtitles download at post-process timeDownload subtitles button in the show pageSubtitles download in ""Manage"" page for mass editingSubtitles download on a regular basis on its own thread (or not? not sure yet) You can choose to bring periscope into Sick-Beard", like other libraries. But I think I\\\'m gonna make some more changes in periscope-ng.## Steps to install periscope-ng:### Warning: If you have periscope installed (the original project), this will interfere and replace it with my version.Periscope-ng requires python module BeautifulSoup >= 3.2.0. If you are a Ubuntu Natty user, you can install it with your Synaptic.### Steps:1.  2.  3.  \'',,,,,,,,
Sick-Beard,144,closed,1,2011-05-05 06:12:41,163.05,,,1,"b""b' Great work but why not add Periscope-ng to the lib folder"," this would aviod any interference with users that already have periscope installed.'""",,,,,,,,,,,
Sick-Beard,144,closed,2,2011-05-05 06:12:41,95.03,,1,,"b'b\' Because I leave the choice of implementation up to midgetspy. I think that putting periscope-ng as a lib is a good idea too.Periscope-ng works on it\\\'s own as a module and I want to keep it\\\'s development separated from Sick-Beard\\\'s development until I release a final stable version of periscope-ng. Edit: Missclicked on ""Comment and close"" -_-\''",,,,,,,,,,,,
Sick-Beard,144,closed,closed,2011-05-05 10:30:46,258.08,0,2,2,,,,,,,,,,,,,
Sick-Beard,144,closed,reopened,2011-05-05 10:30:51,0.08,0,2,2,,,,,,,,,,,,,
Sick-Beard,144,closed,3,2011-05-05 06:12:41,13.83,,,1,"b'b"" I think this is an amazing idea"," as I\'m guessing it will tie the subtitles to the file on download? Meaning that once you have the files downloaded and renamed you don\'t have to guess what subtitle version to get?""'",,,,,,,,,,,
Sick-Beard,144,closed,4,2011-05-05 06:12:41,107.77,,1,,"b'b"" Actually", it attempts to download subtitles at post processing.Anyway, it is possible that no subtitles are found so I made possible to re-launch it in the show page and mass edit page (manage menu).Depending on plugins used, periscope can use :A hash of the video file (OpenSubtitles," TheSubDB)Guessed data from filename (for web-scrapping plugins and some others) The last point can be improved and I\'m working on using a robust library for filenames parsing as Patrick Dessales for -ng.""'",,,,,,,,
Sick-Beard,144,closed,5,2011-05-05 06:12:41,46.48,,,1,"b""b' Hey"," is there any update on this pull request? It would be very nice to be able to automatically download subtitles along the episodes.'""",,,,,,,,,,,
Sick-Beard,144,closed,6,2011-05-05 06:12:41,66.07,,1,,"b'b\' I\\\'ll do some implementing work on my own this week:Put everything in lib to have a ""all-in-one"" Sick-Beard with Subtitles support", no need to install periscope-ng on your own as it\\\'ll be provided with Sick-Beard (in the lib folder, as suggested by tester22)Also, I\\\'m going to improve periscope-ng a little bit:Use [guessit]url  as parsing library for filenames within periscope-ngFix some subtitles providers Anyway, this pull request is still valid as it is working like a charm," maybe I\\\'ll make another one later with the ""all-in-one"" fork.\''",,,,,,,
Sick-Beard,144,closed,7,2011-05-05 06:12:41,335.05,,1,,"b'b\' I finished my work on periscope-ng.I\\\'ll make another pull request later with this ""new"" periscope-ng\''",,,,,,,,,,,,
Sick-Beard,144,closed,closed,2011-06-15 19:59:58,569.12,0,5,4,,,,,,,,,,,,,
Sick-Beard,144,closed,-,-,-,0,5,4,,,,,,,,,,,,,
Sick-Beard,204,closed,opened,2011-09-15 18:35:18,,,,,,,,,,,,,,,,,
Sick-Beard,204,closed,title,2011-09-15 18:35:18,00:00,,1,,"b""b' Added priority selecter for SABnzbd'""",,,,,,,,,,,,
Sick-Beard,204,closed,body,2011-09-15 18:35:18,00:00,,1,,"b""b' This allows you to set the priority of old (>7 days) and new episodes sent to sabnzbd. It may be useful for people who have more then just sickbeard pushing into SAB or for people like myself who run 2 sickbeards and want one of them to be a lower priority.'""",,,,,,,,,,,,
Sick-Beard,204,closed,1,2011-09-15 18:35:18,1094.47,,1,,"b""b' Is 2 a force?No mention of it here: url '""",,,,,,,,,,,,
Sick-Beard,204,closed,closed,2011-09-21 12:49:46,1094.47,0,3,0,,,,,,,,,,,,,
Sick-Beard,204,closed,reopened,2011-09-21 12:49:52,0.1,0,3,0,,,,,,,,,,,,,
Sick-Beard,204,closed,2,2011-09-15 18:35:18,35.97,,1,,"b'b"" I\'ve added it as an option""'",,,,,,,,,,,,
Sick-Beard,204,closed,3,2011-09-15 18:35:18,35.17,,1,,"b""b' Left to die I assume?'""",,,,,,,,,,,,
Sick-Beard,204,closed,4,2011-09-15 18:35:18,97.75,,1,,"b""b' Done'""",,,,,,,,,,,,
Sick-Beard,204,closed,closed,2014-11-07 04:29:47,939.92,0,6,0,,,,,,,,,,,,,
Sick-Beard,204,closed,5,2011-09-15 18:35:18,791.8,,1,,"b""b' if you want one to be lower you could just set the category you told sb to use.. to have a set priority rather than actually use the value passed from sb. '""",,,,,,,,,,,,
Sick-Beard,204,closed,-,-,-,0,7,0,,,,,,,,,,,,,
Sick-Beard,219,closed,opened,2011-10-17 08:37:18,,,,,,,,,,,,,,,,,
Sick-Beard,219,closed,title,2011-10-17 08:37:18,00:00,,1,,"b'b\' Added PLEX Compatible multi-ep. ""Extend."" Renaming style. (Updated)\''",,,,,,,,,,,,
Sick-Beard,219,closed,body,2011-10-17 08:37:18,00:00,,1,,"b""b' This adds support for a PLEX compatible multi-ep. extend. style.'""",,,,,,,,,,,,
Sick-Beard,219,closed,1,2011-10-17 08:37:18,652.0,,1,,"b""b' perhaps you should squash these commits to make a cleaner history.'""",,,,,,,,,,,,
Sick-Beard,219,closed,2,2011-10-17 08:37:18,362.5,,1,,"b""b' Cleaned up commit.'""",,,,,,,,,,,,
Sick-Beard,219,closed,closed,2011-10-20 01:31:49,1014.52,0,4,0,,,,,,,,,,,,,
Sick-Beard,219,closed,reopened,2011-10-20 01:31:54,0.08,0,4,0,,,,,,,,,,,,,
Sick-Beard,219,closed,3,2011-10-17 08:37:18,1437.45,,1,,"b""b' Any hope of having this commit added?'""",,,,,,,,,,,,
Sick-Beard,219,closed,4,2011-10-17 08:37:18,936.62,,1,,"b""b' is there any chance to have this integrated?'""",,,,,,,,,,,,
Sick-Beard,219,closed,5,2011-10-17 08:37:18,266.07,,,1,"b""b' sure when the custom_naming branch is done. it allows much greater flexibility on renaming files'""",,,,,,,,,,,,
Sick-Beard,219,closed,6,2011-10-17 08:37:18,388.37,,,1,"b""b' great thanks for the hard work'""",,,,,,,,,,,,
Sick-Beard,219,closed,7,2011-10-17 08:37:18,27.8,,1,,"b""b' Yeah no new naming configs will be added as the custom naming branch will support them all. That said if somebody wants to try the custom naming branch feel free"," just make sure you back up your  first.'""",,,,,,,,,,,
Sick-Beard,219,closed,closed,2012-04-13 04:28:06,176.2,0,7,2,,,,,,,,,,,,,
Sick-Beard,219,closed,-,-,-,0,7,2,,,,,,,,,,,,,
Sick-Beard,316,closed,opened,2012-02-28 20:09:45,,,,,,,,,,,,,,,,,
Sick-Beard,316,closed,title,2012-02-28 20:09:45,00:00,1,,,"b""b' Fixed bad restart redirection for people using a proxy.'""",,,,,,,,,,,,
Sick-Beard,316,closed,body,2012-02-28 20:09:45,00:00,,1,,"b""b' I modified the js to only generate a url from the config if connecting to localhost"," otherwise it will just refresh.'""",,,,,,,,,,,
Sick-Beard,316,closed,closed,2012-02-29 00:23:20,253.58,1,1,0,,,,,,,,,,,,,
