REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
httpie,128,open,7,2013-02-10 21:56:58,2.78,,1,,"b'b"" @patcon Why?"," pull request isn\'t merged though. ""'",,,,,,,,,,,,,,,,,,,,
httpie,128,open,8,2013-02-10 21:56:58,22.17,1,,,"b""b' Ah. Oops. Misunderstood the context of the referring issue above.'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,reopened,2013-07-29 14:56:17,24.95,2,5,3,,,,,,,,,,,,,,,,,,,,,,
httpie,128,open,9,2013-02-10 21:56:58,572.43,,,1,b'b\' :+1: veeery useful option," please  at the next convenient opportunity. If not ""reasonably"" soon", any idea of by when approximately?\'',,,,,,,,,,,,,,,,,,,
httpie,128,open,10,2013-02-10 21:56:58,139.18,,1,,"b""b' +1Please add this option. Sorting is a deal breaker for me.'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,11,2013-02-10 21:56:58,1419.73,,1,,"b""b' +1Yes"," please add this option. I would like to have pretty print but without sorting the keys'""",,,,,,,,,,,,,,,,,,,,
httpie,128,open,12,2013-02-10 21:56:58,696.03,,1,,"b""b' Any news about this?'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,13,2013-02-10 21:56:58,473.62,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,14,2013-02-10 21:56:58,270.97,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,15,2013-02-10 21:56:58,137.85,,1,,"b""b' This problem is indeed misleading. I struggled a bit to understand why my (server side) OrderedDict was not correctly serialised in my app", then I finally understood that the culprit was not the server but indeed the client re-sorting the keys. It is sometimes useful to have the keys sorted, but for an HTTP client," having a default that changes the response content does not sound like the right thing. Thanks for the amazing tool anyway ;)'""",,,,,,,,,,,,,,,,,,
httpie,128,open,16,2013-02-10 21:56:58,1143.33,,1,,"b""b' @jkbrzt: You mention a while back in url  that you wanted a more generic solution to this problem; was any progress made on that?'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,17,2013-02-10 21:56:58,1166.38,,1,,"b'b"" @msabramo it\'s still on my to do list but not progress yet""'",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,18,2013-02-10 21:56:58,54.88,,,1,"b""b' +1 this really needs to become a feature. Thanks for this amazing tool!'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,19,2013-02-10 21:56:58,1411.62,,1,,"b'b"" I wrote an HTTP client for Sublime Text that\'s also built on top of Requests", called Requester. I also wanted to allow users to choose whether or not keys for JSON responses are sorted, [so I added a \'fmt\' argument to calls to requests]url [I solved it like this]url  If the response body is JSON, calling on the response object returns a Python dictionary. At this point you can pass the dict to to specify indentation and whether keys are sorted. However," if you just return (equivalent to returning the raw response body) the keys won\'t be sorted. ""'",,,,,,,,,,,,,,,,,
httpie,128,open,20,2013-02-10 21:56:58,1428.8,,1,,"b""b' Has this feature been added? I tried with but I get   Anyway", just passing did the trick, the output is not sorted (I already format the output)," but I found no wayt to specify something like   '""",,,,,,,,,,,,,,,,,,
httpie,128,open,-,-,-,2,15,5,,,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,opened,2013-06-19 07:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,title,2013-06-19 07:27:12,00:00,,1,,"b""b' Not working on OS X Mavericks'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,body,2013-06-19 07:27:12,00:00,,1,,"b""b' When I tried to run a command on OS X Mavericks"," I get the following error:  '""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,1,2013-06-19 07:27:12,188.63,,1,,"b""b' I think HTTPie just needs to be reinstalled.'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,2,2013-06-19 07:27:12,1304.65,,1,,"b'b"" tried it just now"," didn\'t do the trick. ""'",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,3,2013-06-19 07:27:12,10.65,1,,,"b""b' I cannot try it on Mavericks"," but OS X upgrades usually mess up installed Python packages.'""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,4,2013-06-19 07:27:12,649.17,,,1,"b""b' Just tested it on the latest beta of Mavericks and it works fine. '""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,closed,2013-08-15 19:20:18,713.1,1,4,1,,,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,5,2013-06-19 07:27:12,899.9,,1,,"b""b' I can confirm that it is not working on Mavericks"," I tried to reinstall Python (from Homebrew) and HTTPie but it gives me the same error.'""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,6,2013-06-19 07:27:12,1025.7,,1,,"b""b' I had to add to my PATH to make it work.'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,7,2013-06-19 07:27:12,246.35,1,,,"b""b' Unfortunately it does not work for me even after I have added it to PATH. I have tried Python 2.7 and Python 3 from Homebrew"," I have tried to reinstall everything but I still get the same error which is posted in this issue. Any other ideas?'""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,8,2013-06-19 07:27:12,45.63,,1,,"b""b' Are you installing via pip? If so"," check what directory pip installs to and maybe try adding that directory to your path.'""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,9,2013-06-19 07:27:12,47.13,,,1,"b'b"" Yes", I am installing with pip. I tried to add some other directories to PATH but no luck. Actually," I don\'t really know how to find out where pip installs the files...""'",,,,,,,,,,,,,,,,,,,
httpie,148,closed,reopened,2013-10-24 09:05:43,825.42,2,7,2,,,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,10,2013-06-19 07:27:12,568.52,,,1,"b'b"" I\'ve got the same problem with fabric.I\'ve reinstalled it via easy_install and worked fine for me.""'",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,11,2013-06-19 07:27:12,736.12,,,1,"b'b"" I\'ve tried it with easy_install and it works! Thanks.""'",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,12,2013-06-19 07:27:12,518.9,,1,,"b""b' I had the same problem and just wanted to say that easy_install fixed it for me as well.'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,13,2013-06-19 07:27:12,1429.97,,1,,"b""b' Same thing here. Worked through easy_install"," busted through pip. Python installed with homebrew.'""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,14,2013-06-19 07:27:12,1118.35,,1,,"b'b"" I don\'t think this is an HTTPie issue. Python 3.3.2 (and possibly lower?) is incompatible with OS X Mavericks. Upgrade your Python installation to Python 3.3.3 or higher.""'",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,15,2013-06-19 07:27:12,641.02,,1,,"b'b"" @tylercrompton I can confirm that Python 2.7.5 works on Mavericks. I\'ve also uninstalled the version of HTTPie from pip and reinstalled with easy_install and it\'s working for me.""'",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,16,2013-06-19 07:27:12,292.13,,1,,"b""b' +1; Not sure if you wanted added confirmation. Same error. Same solution with  .'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,17,2013-06-19 07:27:12,613.75,,1,,"b""b'   should now work on Mavericks as well. Fixed by adding support for Python wheel packages.'""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,closed,2014-04-28 11:43:46,158.05,2,13,4,,,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,18,2013-06-19 07:27:12,227.77,,1,,"b""b' For the record"," the initial issue is fixed better if you upgrade setuptools Confirmed here:url '""",,,,,,,,,,,,,,,,,,,,
httpie,148,closed,19,2013-06-19 07:27:12,72.63,,1,,"b""b' I resolved the issue adding in my path:  '""",,,,,,,,,,,,,,,,,,,,,
httpie,148,closed,-,-,-,2,15,4,,,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,opened,2013-06-20 01:08:16,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,title,2013-06-20 01:08:16,00:00,,1,,"b""b' Does not work pip install httpie in OpenBSD with python 3'""",,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,body,2013-06-20 01:08:16,00:00,,1,,"b'b\' $ pip install httpie httpie  Downloading httpie-0.6.0 (63kB): 63kB downloaded  Running  egg_info for package httpie Exception:Traceback (most recent call last):  File ""/1.3.1-py3.3""", line 139, in main  status = (options," args)  File ""/1.3.1-py3.3""", line 266, in run  requirement_(finder, force_root_egg_info=," bundle=)  File ""/1.3.1-py3.3""", line 1062," in prepare_files  req_to_()  File ""/1.3.1-py3.3""", line 371," in assert_source_matches_version  version = File ""/1.3.1-py3.3""", line 367," in installed_version  return ()[\\\'version\\\']  File ""/1.3.1-py3.3""", line 334," in pkg_info  data = (\\\'PKG-INFO\\\')  File ""/1.3.1-py3.3""", line 274," in egg_info_data  data = ()  File ""/""", line 26, in decode  return (input, )[0]UnicodeDecodeError: \\\'ascii\\\' codec can\\\'t decode byte 0xe2 in position 6047: ordinal not in range(128)\'',
httpie,149,closed,1,2013-06-20 01:08:16,866.98,,1,,"b""b' @TeeBSD would you please test it with the current version of HTTPie and re-open this if the issue persists?'""",,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,closed,2014-04-10 15:35:15,866.98,0,3,0,,,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,2,2013-06-20 01:08:16,297.88,,1,,"b'b\' Same error at Debian 7.  httpie  Downloading httpie-0.9.0 (87Kb): 87Kb downloaded  Running  egg_info for package httpie  requests>=2.3.0 (from httpie)  Downloading requests-2.5.1 (443Kb): 443Kb downloaded  Running  egg_info for package requests Exception:Traceback (most recent call last):  File ""/1.1-py3.2""", line 104, in main  status = (options," args)  File ""/1.1-py3.2""", line 245, in run  requirement_(finder, force_root_egg_info=," bundle=)  File ""/1.1-py3.2""", line 1014," in prepare_files  req_to_()  File ""/1.1-py3.2""", line 359," in assert_source_matches_version  version = File ""/1.1-py3.2""", line 351," in installed_version  return ()[\\\'version\\\']  File ""/1.1-py3.2""", line 318," in pkg_info  data = (\\\'PKG-INFO\\\')  File ""/1.1-py3.2""", line 261," in egg_info_data  data = ()  File ""/""", line 26, in decode  return (input, )[0]UnicodeDecodeError: \\\'ascii\\\' codec can\\\'t decode byte 0xe2 in position 8161: ordinal not in range(128) Storing complete log in /\'',
httpie,149,closed,reopened,2015-01-31 20:34:39,299.4,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,closed,2015-06-06 18:18:47,1304.13,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,149,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,opened,2013-07-23 03:08:45,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,title,2013-07-23 03:08:45,00:00,,1,,"b""b' Add option to ignore stdin data'""",,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,body,2013-07-23 03:08:45,00:00,1,,,"b'b""   This error is rather cryptic.  I\'m writing a shell script to interact with a rest API", and I\'m doing this: Which produces (when preceded by \'echo\' a command that works perfectly well.  However, this version gives the error in the subject. Am I being stupid," or is this something else? FYI: The result of the above is as followed (sanitized slightly)  ""'",,,,,,,,,,,,,,,,,,
httpie,150,closed,1,2013-07-23 03:08:45,324.63,,1,,"b'b"" This error happens when HTTPie\'s [  is redirected]url  and data is also specified in the [arguments]url  at the same time:  ""'",,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,2,2013-07-23 03:08:45,362.38,,1,,"b'b"" I\'m not redirecting STDIN at all.  Here\'s a bit more context in the script: (and then I parse the \'subnet\' file", and go on to do other things) What I MIGHT be doing is intermixing form-fields with http-headers.  However, I couldn\'t get that to work right either (some combination of pushing the form data through STDIN, and headers as parameters... or as headers and form data through STDIN," or whatever).""'",,,,,,,,,,,,,,,,,
httpie,150,closed,3,2013-07-23 03:08:45,14.42,1,,,"b'b"" I see"," the problem is that in the loop context HTTPie inherits its (which is redirected). You should be able to work it around by changing HTTPie\'s back to the terminal input ( ):  ""'",,,,,,,,,,,,,,,,,,,,
httpie,150,closed,4,2013-07-23 03:08:45,23.02,,,1,"b'b"" Wow. That works.  I had NO idea that the inner statements of a shell loop inherit the stdin of the surrounding loop. Thank you for the help... I\'m not sure I would have found that on my own. (Now I\'m curious why (I\'m assuming all SH derived shells) made that design choice... )""'",,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,closed,2013-07-23 15:13:12,724.45,2,3,1,,,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,reopened,2013-07-23 15:15:11,1.98,2,3,1,,,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,5,2013-07-23 03:08:45,3.42,,1,,"b'b"" I think there should be an option to disable the reading of that would work everywhere"," so I\'m keeping this open and tagging it as a feature.""'",,,,,,,,,,,,,,,,,,,,
httpie,150,closed,closed,2013-08-24 15:56:10,40.98,2,4,1,,,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,6,2013-07-23 03:08:45,597.4,1,,,"b""b' This is very confusing"," and goes against httpie being able to work anywhere. Using such a command inside a bash loop is a very common application. Httpie should not complain when  is given and it receives stdin: instead letting  dominate.'""",,,,,,,,,,,,,,,,,,,,
httpie,150,closed,7,2013-07-23 03:08:45,1318.02,,1,,"b""b'  That maybe is intuitive to you", but to many others the exact opposite is far more intuitive. Because tooling should not try to guess, it is far better to raise an error and provide you an escape hatch if you feel you know better," which this does.'""",,,,,,,,,,,,,,,,,,
httpie,150,closed,8,2013-07-23 03:08:45,866.15,,,1,"b""b' I ran into this issue when using httpie inside of a function passed to [GNU parallel]url  Thanks to the [above comment]url  the parallel function invocation works now. Leaving this comment here for future reference \\xf0\\x9f\\x98\\x8a'""",,,,,,,,,,,,,,,,,,,,,
httpie,150,closed,9,2013-07-23 03:08:45,58.87,,1,,"b""b' For future reference"," there now is a CLI argument that can be used to explicitly tell HTTPie that request data (key=value) should be preferred over request body (from stdin).   Cf. url '""",,,,,,,,,,,,,,,,,,,,
httpie,150,closed,10,2013-07-23 03:08:45,39.35,,,1,"b""b' Encountered this while using in a for loop. It worked fine locally"," but failed in gitlab. resolved it.'""",,,,,,,,,,,,,,,,,,,,
httpie,150,closed,-,-,-,3,6,3,,,,,,,,,,,,,,,,,,,,,,
httpie,155,open,opened,2013-08-11 18:14:15,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,155,open,title,2013-08-11 18:14:15,00:00,,1,,"b""b' IPv6 addresses'""",,,,,,,,,,,,,,,,,,,,,
httpie,155,open,body,2013-08-11 18:14:15,00:00,,,1,"b'b"" I\'m able to and get a valid response"," but using produces the following for me: It would seem that httpie doesn\'t support direct IPv6 address input as works fine.""'",,,,,,,,,,,,,,,,,,,,
httpie,155,open,1,2013-08-11 18:14:15,20.55,,1,,"b'b"" It\'s a bug in : #1426""'",,,,,,,,,,,,,,,,,,,,,
httpie,155,open,2,2013-08-11 18:14:15,7.08,,,1,"b""b' Thanks.'""",,,,,,,,,,,,,,,,,,,,,
httpie,155,open,closed,2013-08-11 18:41:53,27.63,0,2,2,,,,,,,,,,,,,,,,,,,,,,
httpie,155,open,3,2013-08-11 18:14:15,5.33,,1,,"b""b' Keeping this open for reference.'""",,,,,,,,,,,,,,,,,,,,,
httpie,155,open,reopened,2013-08-11 18:47:13,5.33,0,3,2,,,,,,,,,,,,,,,,,,,,,,
httpie,155,open,4,2013-08-11 18:14:15,981.88,,1,,"b""b' @jkbrzt this should be close-able now.'""",,,,,,,,,,,,,,,,,,,,,
httpie,155,open,-,-,-,0,4,2,,,,,,,,,,,,,,,,,,,,,,
httpie,159,open,opened,2013-09-02 16:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,159,open,title,2013-09-02 16:16:00,00:00,,1,,"b'b"" Doesn\'t work behind proxy in corporate Windows network (NTLM)""'",,,,,,,,,,,,,,,,,,,,,
httpie,159,open,body,2013-09-02 16:16:00,00:00,,1,,"b'b"" HTTPie doesn\'t work in my office because our computers are behind an proxy. It still doesn\'t work even after specifying the argument"," because the proxy is superevil. It uses a proprietary technology called [NTLM]url  that breaks most free software (Ruby and Nodejs as well as Python). Here\'s a related issue\\xe2\\x80\\x94NTLM authentication for direct (unproxied requests)  url  This library will probably be useful in any fix url ""'",,,,,,,,,,,,,,,,,,,,
httpie,159,open,1,2013-09-02 16:16:00,355.45,,1,,"b""b' Plan is to fix this double-upstream in urllib3  url '""",,,,,,,,,,,,,,,,,,,,,
httpie,159,open,2,2013-09-02 16:16:00,1415.6,,1,,"b""b' There is now an HTTPie plugin for NTLM auth: [httpie-ntlm]url '""",,,,,,,,,,,,,,,,,,,,,
httpie,159,open,closed,2015-03-25 21:47:04,331.07,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,159,open,3,2013-09-02 16:16:00,139.9,1,,,"b'b"" Sorry that wasn\'t clear", there are two NTLM auth protocols, one for websites," one for proxies. They use different HTTP headers and  . See url  That plugin is based on requests-ntlm so I think it can only do not proxies. Upstream issues required for NTLM proxy auth in httpie are probably:1. url 2. url ""'",,,,,,,,,,,,,,,,,,
httpie,159,open,reopened,2015-03-26 00:26:43,159.65,1,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,159,open,-,-,-,1,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,opened,2013-11-22 18:40:19,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,title,2013-11-22 18:40:19,00:00,,1,,"b""b' Custom User-Agent not remembered during session'""",,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,body,2013-11-22 18:40:19,00:00,,1,,"b""b' When testing it is often useful to have a set of predefined profiles such as different set of headers for different browsers. It helps with testing Web sites. One way to do that currently is to create a variable for each profile. but it would be entirely possible to have a feature such as where is a JSON file in  '""",,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,1,2013-11-22 18:40:19,40.88,,,1,"b""b' I would _love_ this feature. :+1: '""",,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,2,2013-11-22 18:40:19,41.53,,1,,"b""b' HTTPie supports sessions that allow you to do this. Example: Create a session file: Reuse it whenever needed: Please see url  for more details.'""",,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,closed,2013-11-23 21:37:37,177.3,0,3,1,,,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,3,2013-11-22 18:40:19,61.02,,1,,"b'b"" I guess we can reopen the issue because it is not what we were expecting. Let\'s say we create the JSON file: Following your instructions"," I do  which is leading to: The first anomaly is  .Then HTTPie is rewriting the session file to  So not working.""'",,,,,,,,,,,,,,,,,,,,
httpie,180,closed,4,2013-11-22 18:40:19,15.07,,1,,"b""b' This will solve the rewriting The is still not working. I tried reordering the json file but without success.'""",,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,reopened,2013-12-18 21:35:22,1437.75,0,5,1,,,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,closed,2014-05-08 11:29:44,834.37,0,5,1,,,,,,,,,,,,,,,,,,,,,,
httpie,180,closed,-,-,-,0,5,1,,,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,opened,2014-01-16 10:50:56,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,title,2014-01-16 10:50:56,00:00,,1,,"b""b' Advanced stdin processing'""",,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,body,2014-01-16 10:50:56,00:00,1,,,"b'b"" Hey there", I am missing a feature to pass a file as a post field from stdin. My particular use case is this from curl:  command | curl -F \'sprunge=<-\' url which I noticed is not possible with httpie. If it\'s not too much trouble," I would kindly like to request this feature.""'",,,,,,,,,,,,,,,,,,,
httpie,194,closed,1,2014-01-16 10:50:56,12.53,,,1,"b'b"" Interesting. Current master allows you to specify file contents as values for fields (via  ). And it can in fact be used to take data from as well:   It currently has the limitation that HTTPie doesn\'t allow you to specify both request data items on the CLI and pass content via at the same time though", i.e. this won\'t work:   handling is something I\'m planning on taking a look at because the current implementation is not ideal," so the limitation might be fixed in the near future.""'",,,,,,,,,,,,,,,,,,,
httpie,194,closed,2,2014-01-16 10:50:56,3.0,,1,,"b""b' Just wondering: when do you actually use this feature? '""",,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,3,2014-01-16 10:50:56,13.88,,,1,"b'b"" I didn\'t think of / for an @ file value. Nice idea. My use case is", as said above, url  To be more specific, I wanted to paste a couple of lines from vim," which I normally do like this:""'",,,,,,,,,,,,,,,,,
httpie,194,closed,4,2014-01-16 10:50:56,10.37,,,1,"b'b"" Oh", that\'s interesting. It seems to work pretty well: Or," send the content of the current file:  ""'",,,,,,,,,,,,,,,,,,,
httpie,194,closed,5,2014-01-16 10:50:56,39.13,,,1,"b'b"" Great! The / trick is kind of a stretch though. Some kind of shorthand like curl has would be nice. field=@or something like that. Thanks for the quick reply", I\'ll be waiting for a 0.8.0 release," then :)""'",,,,,,,,,,,,,,,,,,,
httpie,194,closed,closed,2014-01-16 12:24:52,93.93,1,2,4,,,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,6,2014-01-16 10:50:56,1015.78,,1,,"b'b"" Hi", I came across this because I was also attempting to use the  service with httpie," but not from within vim. Could this be reopened? Passing data via a pipe still doesn\'t work.  ""'",,,,,,,,,,,,,,,,,,,
httpie,194,closed,reopened,2015-01-24 18:16:19,351.45,1,3,4,,,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,7,2014-01-16 10:50:56,754.6,,1,,"b""b' This is now being worked on here: #370 '""",,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,closed,2015-09-01 17:40:17,1403.97,1,4,4,,,,,,,,,,,,,,,,,,,,,,
httpie,194,closed,8,2014-01-16 10:50:56,382.58,,,1,"b'b"" I also would like this feature. I\'m grabbing a CSV", posting it to a service, altering the CSV using csvkit," and then want to post the altered version to a service again:   It would be nice to have been able to use and not have to supply  .""'",,,,,,,,,,,,,,,,,,
httpie,194,closed,-,-,-,1,4,5,,,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,opened,2014-01-28 15:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,title,2014-01-28 15:21:56,00:00,,1,,"b""b' add support for client SSL certificate and key'""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,body,2014-01-28 15:21:56,00:00,,1,,"b""b' Added two parameters and which allow to pass through the client side SSL certificate and key to requests. Not sure how to test this with unittests. Maybe naming of the parameters can be improved?'""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,closed,2014-01-28 18:42:41,200.75,0,2,0,,,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,reopened,2014-01-28 18:42:43,0.03,0,2,0,,,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,1,2014-01-28 15:21:56,1415.67,,,1,"b""b' @jkbr thanks for your suggestions. I modified my changes. Instead of using from argparse", I wrote a little function, which produces nicer output in case of an error. Not sure," if is the right place for  or if you would rather have it in since it is only used there.'""",,,,,,,,,,,,,,,,,,
httpie,197,closed,2,2014-01-28 15:21:56,127.3,,,1,"b""b' @jkbr Thanks again for your review. I made adjustments according to your feedback.'""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,3,2014-01-28 15:21:56,1067.2,,,1,"b""b' Great", thanks!  Would you mind documenting it under [HTTPS]url  in the README please?  Relevant part of python-requests docs for inspiration: url  As for the naming," yeah maybe it could be improved.'""",,,,,,,,,,,,,,,,,,,
httpie,197,closed,4,2014-01-28 15:21:56,43.08,,1,,"b""b' @jkbr would you like  and better as parameter names? would be in line with requests parameter names but maybe it is not so clear that this is about SSL connections. Or maybe  and to make the connection clearer? What do you think? '""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,5,2014-01-28 15:21:56,18.35,,1,,"b""b' I just went ahead and renamed the parameters to and  since I found these the most concise and in line with the requests library. Also added documentation.'""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,6,2014-01-28 15:21:56,30.8,,,1,"b'b"" Thanks @matleh! Let\'s go with these names for now. It can be renamed if we can think of anything better.  Could you also update [CHANGELOG]url  and add yourself to [AUTHORS]url  Also", if you added just a couple of tests," that would be awesome :)""'",,,,,,,,,,,,,,,,,,,
httpie,197,closed,7,2014-01-28 15:21:56,1321.45,,1,,"b""b' I updated CHANGELOG and AUTHORS. Adding tests is not so trivial. Have to find a way to test SSL.'""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,8,2014-01-28 15:21:56,201.12,,,1,"b""b' Thanks @matleh! '""",,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,closed,2014-02-12 13:46:59,1144.27,0,5,5,,,,,,,,,,,,,,,,,,,,,,
httpie,197,closed,9,2014-01-28 15:21:56,1.1,,1,,"b'b"" As for the tests"," it\'s not necessary to test the actual SSL functionality. Testing of the handling of the arguments will do. I\'ll look into that.""'",,,,,,,,,,,,,,,,,,,,
httpie,197,closed,10,2014-01-28 15:21:56,1197.0,,1,,"b""b' If you mean it would be sufficent to mock out requests and check that it is called the right way I think"," I can do that. Just let me know.'""",,,,,,,,,,,,,,,,,,,,
httpie,197,closed,11,2014-01-28 15:21:56,1220.8,,,1,"b""b' @matleh Yep"," something like that would do the trick. Thanks!'""",,,,,,,,,,,,,,,,,,,,
httpie,197,closed,-,-,-,0,7,6,,,,,,,,,,,,,,,,,,,,,,
httpie,221,open,opened,2014-05-13 09:57:28,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,221,open,title,2014-05-13 09:57:28,00:00,,1,,"b""b' Support proxy digest authentication'""",,,,,,,,,,,,,,,,,,,,,
httpie,221,open,body,2014-05-13 09:57:28,00:00,,,1,"b'b"" As far as I can see httpie doesn\'t support authentication on proxies. It would be nice to have such feature.""'",,,,,,,,,,,,,,,,,,,,,
httpie,221,open,1,2014-05-13 09:57:28,140.85,,1,,"b""b' Actually", HTTPie [does support]url  that," e.g.:  '""",,,,,,,,,,,,,,,,,,,
httpie,221,open,closed,2014-05-13 12:18:19,140.85,0,2,1,,,,,,,,,,,,,,,,,,,,,,
httpie,221,open,2,2014-05-13 09:57:28,6.88,,1,,"b""b' Well"," it seems that HTTPS case is a bit different:  '""",,,,,,,,,,,,,,,,,,,,
httpie,221,open,3,2014-05-13 09:57:28,10.52,,1,,"b""b' Well"," with digest auth. method and HTTP remote site it looks like this:  '""",,,,,,,,,,,,,,,,,,,,
httpie,221,open,4,2014-05-13 09:57:28,1.67,,1,,"b'b"" I see. Normally it would be: But that uses basic auth. So the problem is that HTTPie doesn\'t allow you to specify the auth type the proxy uses. ""'",,,,,,,,,,,,,,,,,,,,,
httpie,221,open,reopened,2014-05-13 12:37:23,19.07,0,5,1,,,,,,,,,,,,,,,,,,,,,,
httpie,221,open,5,2014-05-13 09:57:28,1218.9,,,1,"b""b' thanks a million it just worked fine and awesome. '""",,,,,,,,,,,,,,,,,,,,,
httpie,221,open,-,-,-,0,5,2,,,,,,,,,,,,,,,,,,,,,,
httpie,247,closed,opened,2014-08-08 19:09:51,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,247,closed,title,2014-08-08 19:09:51,00:00,,1,,"b'b"" Sometimes"," I really don\'t want JSON or key values pairs.....""'",,,,,,,,,,,,,,,,,,,,
